rep,n,trueProp1,true_beta,center_X,set_up,d,corr,prcNA,prop1
0,115000,0.5012260869565217,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr00_prcNA025_prop105_rep0,5,0.0,0.25,0.5
0,115000,0.5012260869565217,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr00_prcNA05_prop105_rep0,5,0.0,0.5,0.5
0,115000,0.9027565217391305,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[ 1.17539825 -0.4426752  -0.38219221 -0.77641459  0.62622065],LOG_n115000_d5_corr00_prcNA025_prop1085_rep0,5,0.0,0.25,0.85
0,115000,0.9027565217391305,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[ 1.17539825 -0.4426752  -0.38219221 -0.77641459  0.62622065],LOG_n115000_d5_corr00_prcNA05_prop1085_rep0,5,0.0,0.5,0.85
0,115000,0.5010347826086956,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr065_prcNA025_prop105_rep0,5,0.65,0.25,0.5
0,115000,0.5010347826086956,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr065_prcNA05_prop105_rep0,5,0.65,0.5,0.5
0,115000,0.6622260869565217,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[ 0.30304627 -0.11413244 -0.09853845 -0.20017858  0.16145492],LOG_n115000_d5_corr065_prcNA025_prop1085_rep0,5,0.65,0.25,0.85
0,115000,0.6622260869565217,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[ 0.30304627 -0.11413244 -0.09853845 -0.20017858  0.16145492],LOG_n115000_d5_corr065_prcNA05_prop1085_rep0,5,0.65,0.5,0.85
0,115000,0.5018956521739131,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr095_prcNA025_prop105_rep0,5,0.95,0.25,0.5
0,115000,0.5018956521739131,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr095_prcNA05_prop105_rep0,5,0.95,0.5,0.5
0,115000,0.5002869565217392,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr095_prcNA025_prop1085_rep0,5,0.95,0.25,0.85
0,115000,0.5002869565217392,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr095_prcNA05_prop1085_rep0,5,0.95,0.5,0.85
1,115000,0.49688695652173914,[ 0.51395068  0.02318884 -0.19370243  0.46745645 -0.13696081],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr00_prcNA025_prop105_rep1,5,0.0,0.25,0.5
1,115000,0.49688695652173914,[ 0.51395068  0.02318884 -0.19370243  0.46745645 -0.13696081],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr00_prcNA05_prop105_rep1,5,0.0,0.5,0.5
1,115000,0.8448173913043479,[ 0.51395068  0.02318884 -0.19370243  0.46745645 -0.13696081],[ 1.79221746  0.08086272 -0.6754673   1.63008561 -0.47760139],LOG_n115000_d5_corr00_prcNA025_prop1085_rep1,5,0.0,0.25,0.85
1,115000,0.8448173913043479,[ 0.51395068  0.02318884 -0.19370243  0.46745645 -0.13696081],[ 1.79221746  0.08086272 -0.6754673   1.63008561 -0.47760139],LOG_n115000_d5_corr00_prcNA05_prop1085_rep1,5,0.0,0.5,0.85
