"set_up","method","n_train","estimated_beta","file_name","running_time"
"LOG_n115000_d5_corr00_prcNA025_prop105_rep0","CC",500,"[[1.6264466093837064, -0.6402269689693072, -0.7148384380332264, -1.1934512613986044, 0.8345457751285612], [-0.0294321823265162]]","",0.0996434688568115
"LOG_n115000_d5_corr00_prcNA025_prop105_rep0","05.IMP",500,"[[1.5796003627179351, -0.7400232176431608, -0.1784573486600112, -1.0434878894533735, 0.864712744256937], [-0.16464354990136565]]","LOG_n115000_d5_corr00_prcNA025_prop105_rep0_05.IMP_500",0.00434613227844238
"LOG_n115000_d5_corr00_prcNA025_prop105_rep0","05.IMP.M",500,"[[1.7542970337343438, -0.7249025849734154, -0.26499823021125557, -1.1489779838098486, 0.9035911655699455, -0.5827490337598312, -0.04865345209293009, 0.545218721168345, 0.7538484007394429, -0.25279748950085357], [-0.24144202159885772]]","LOG_n115000_d5_corr00_prcNA025_prop105_rep0_05.IMP.M_500",0.00563144683837891
"LOG_n115000_d5_corr00_prcNA025_prop105_rep0","Mean.IMP",500,"[[1.7119116698792005, -0.7184269500173657, -0.26622415608502675, -1.1165861028379174, 0.9113109510259169], [-0.0324791845977136]]","LOG_n115000_d5_corr00_prcNA025_prop105_rep0_Mean.IMP_500",0.0059349536895752
"LOG_n115000_d5_corr00_prcNA025_prop105_rep0","Mean.IMP.M",500,"[[1.7541951118963859, -0.7249786187559024, -0.2649990947161056, -1.1488184498881704, 0.9032813887477822, 0.275742005984267, -0.3746507109451058, 0.43029171696160196, 0.28395587785102744, 0.1991769420520317], [-0.24043132056719413]]","LOG_n115000_d5_corr00_prcNA025_prop105_rep0_Mean.IMP.M_500",0.00653767585754395
"LOG_n115000_d5_corr00_prcNA025_prop105_rep0","ICE.IMP",500,"[[1.1129530506276788, -0.4976643184899441, -0.2039292531122336, -0.6804506993455574, 0.5394087532553246], [-0.016666084998422336]]","LOG_n115000_d5_corr00_prcNA025_prop105_rep0_ICE.IMP_500",0.710949897766113
"LOG_n115000_d5_corr00_prcNA025_prop105_rep0","ICE.IMP.M",500,"[[1.138753183636266, -0.51645857957501, -0.18918331207736777, -0.6987087425244614, 0.5312118615391844, 0.3183843779134681, -0.21127098297890268, 0.44236518873021313, 0.14622423145350205, 0.24530807752812922], [-0.2326907183700223]]","LOG_n115000_d5_corr00_prcNA025_prop105_rep0_ICE.IMP.M_500",0.793704509735107
"LOG_n115000_d5_corr00_prcNA025_prop105_rep0","ICEY.IMP",500,"[[1.9737675821477854, -0.8117671780902342, -0.23429311008913575, -1.2513022504831053, 0.8922586455988573], [-0.060333187502962654]]","LOG_n115000_d5_corr00_prcNA025_prop105_rep0_ICEY.IMP_500",0.890872716903687
"LOG_n115000_d5_corr00_prcNA025_prop105_rep0","ICEY.IMP.M",500,"[[2.007138020882722, -0.8332266061422078, -0.21539998925796267, -1.2824126359030477, 0.8811192641022403, 0.3734439916877875, -0.22443270236727725, 0.5477924944865232, 0.22198571683350543, 0.2864138692452957], [-0.3346618361442109]]","LOG_n115000_d5_corr00_prcNA025_prop105_rep0_ICEY.IMP.M_500",0.795510530471802
"LOG_n115000_d5_corr00_prcNA05_prop105_rep0","CC",500,"[[1.0526063055806079, 0.5417324394972974, -0.23626488642247087, -0.7295402953388911, 0.6180561870507589], [0.7419736956372506]]","",0.00571918487548828
"LOG_n115000_d5_corr00_prcNA05_prop105_rep0","05.IMP",500,"[[1.2838188484898312, -0.4153201091483709, -0.25658666890541937, -0.8870598340915592, 0.6115115136359929], [-0.1783247100645857]]","LOG_n115000_d5_corr00_prcNA05_prop105_rep0_05.IMP_500",0.00762462615966797
"LOG_n115000_d5_corr00_prcNA05_prop105_rep0","05.IMP.M",500,"[[1.5644729286196148, -0.4813866054631649, -0.27524550070699616, -1.0733176347638764, 0.7870106386846347, -0.838164396265124, 0.21336400950800863, 0.11649260833106498, 0.6096441401569896, -0.5095753864707877], [0.011369586261592839]]","LOG_n115000_d5_corr00_prcNA05_prop105_rep0_05.IMP.M_500",0.0071260929107666
"LOG_n115000_d5_corr00_prcNA05_prop105_rep0","Mean.IMP",500,"[[1.570981353868208, -0.4835021897571786, -0.2756036897426437, -1.0668743979814816, 0.7838269303706074], [-0.029147153093192265]]","LOG_n115000_d5_corr00_prcNA05_prop105_rep0_Mean.IMP_500",0.00477409362792969
"LOG_n115000_d5_corr00_prcNA05_prop105_rep0","Mean.IMP.M",500,"[[1.565059530507077, -0.4811430092434764, -0.27486465039234026, -1.0732641109959293, 0.7867864999795776, -0.08439924903825345, 0.0134327921941331, 0.014131199684019012, 0.12645738575368917, -0.12417655564613332], [0.0032320839773276795]]","LOG_n115000_d5_corr00_prcNA05_prop105_rep0_Mean.IMP.M_500",0.00449609756469727
"LOG_n115000_d5_corr00_prcNA05_prop105_rep0","ICE.IMP",500,"[[0.665235502163504, -0.26098502548521224, -0.02935473397954898, -0.45494350169336606, 0.4333448108011129], [-0.05551732114804555]]","LOG_n115000_d5_corr00_prcNA05_prop105_rep0_ICE.IMP_500",0.57171893119812
"LOG_n115000_d5_corr00_prcNA025_prop105_rep0","MICE.IMP",500,"[[2.04322199618743, -0.689294405616178, -0.391799001605334, -1.45037392537242, 1.12827070224811], [-0.127019138183767]]","LOG_n115000_d5_corr00_prcNA025_prop105_rep0_MICE.IMP_500",0.458481073379517
"LOG_n115000_d5_corr00_prcNA025_prop105_rep0","SAEM",500,"[[2.08863429547259, -0.912388007690448, -0.364511572624738, -1.43358436985619, 1.09278597678147], [-0.105928210997869]]","LOG_n115000_d5_corr00_prcNA025_prop105_rep0_SAEM_500",26.6522150039673
"LOG_n115000_d5_corr00_prcNA05_prop105_rep0","MICE.IMP",500,"[[2.07567316753743, -0.64969249388019, -0.458053239851443, -1.44675242565049, 1.26497042421273], [-0.0149923110874452]]","LOG_n115000_d5_corr00_prcNA05_prop105_rep0_MICE.IMP_500",0.184823036193848
