exp,set_up,method,n_train,bayes_adj,metric,score,filter
SimA,SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP,100,False,brier,0.22897499387700831,all
SimA,SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP,100,True,brier,0.03511278350325142,all
SimA,SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP,100,False,misclassification,0.35453333333333337,all
SimA,SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP,100,True,misclassification,0.0524,all
SimA,SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP,100,False,mae_bayes,0.14288094166172904,all
SimA,SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP,100,True,mae_bayes,0.14288094166172904,all
SimA,SimA_rep1_n115000_d5_corr65_NA25,MICE.1.IMP,100,False,brier,0.22355960357979204,all
SimA,SimA_rep1_n115000_d5_corr65_NA25,MICE.1.IMP,100,True,brier,0.029052492105574146,all
SimA,SimA_rep1_n115000_d5_corr65_NA25,MICE.1.IMP,100,False,misclassification,0.3433333333333334,all
SimA,SimA_rep1_n115000_d5_corr65_NA25,MICE.1.IMP,100,True,misclassification,0.03706666666666669,all
SimA,SimA_rep1_n115000_d5_corr65_NA25,MICE.1.IMP,100,False,mae_bayes,0.13138939120477863,all
SimA,SimA_rep1_n115000_d5_corr65_NA25,MICE.1.IMP,100,True,mae_bayes,0.13138939120477863,all
SimA,SimA_rep2_n115000_d5_corr65_NA25,MICE.1.IMP,100,False,brier,0.22065839613641713,all
SimA,SimA_rep2_n115000_d5_corr65_NA25,MICE.1.IMP,100,True,brier,0.025863864633180522,all
SimA,SimA_rep2_n115000_d5_corr65_NA25,MICE.1.IMP,100,False,misclassification,0.3360666666666666,all
SimA,SimA_rep2_n115000_d5_corr65_NA25,MICE.1.IMP,100,True,misclassification,0.030933333333333257,all
SimA,SimA_rep2_n115000_d5_corr65_NA25,MICE.1.IMP,100,False,mae_bayes,0.11974615216708179,all
SimA,SimA_rep2_n115000_d5_corr65_NA25,MICE.1.IMP,100,True,mae_bayes,0.11974615216708179,all
SimA,SimA_rep3_n115000_d5_corr65_NA25,MICE.1.IMP,100,False,brier,0.24565570604798204,all
SimA,SimA_rep3_n115000_d5_corr65_NA25,MICE.1.IMP,100,True,brier,0.05221468144903707,all
