"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimA_rep0_n115000_d5_corr65_NA25","MICE.1.IMP",100,"[[1.25779733663093, -0.60478807105187, -1.15137916324615, -0.316191382460819, 1.02845516810152], [0.429369835337095]]","SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP_100",0.684014797210693,0.00759649276733398,"2025-06-08 13:18:23.11908"
"SimA_rep1_n115000_d5_corr65_NA25","MICE.1.IMP",100,"[[1.54730696982694, -0.381966459235638, 0.520830588031788, -1.84765447765701, 1.09573882062394], [0.0799668948025023]]","SimA_rep1_n115000_d5_corr65_NA25_MICE.1.IMP_100",0.522828102111816,0.0320324897766113,"2025-06-08 13:18:23.886012"
"SimA_rep2_n115000_d5_corr65_NA25","MICE.1.IMP",100,"[[1.35910139411761, -0.213600067625582, -0.477774784861011, -1.14541343674137, 0.738354718680552], [0.131034445676301]]","SimA_rep2_n115000_d5_corr65_NA25_MICE.1.IMP_100",0.453269958496094,0.00596237182617188,"2025-06-08 13:18:24.522592"
"SimA_rep3_n115000_d5_corr65_NA25","MICE.1.IMP",100,"[[0.649287982379566, -0.0955798289562295, -0.511944460932012, -1.3859920023699, 1.03129774937139], [-0.025578460751638]]","SimA_rep3_n115000_d5_corr65_NA25_MICE.1.IMP_100",0.215942144393921,0.00618815422058105,"2025-06-08 13:18:25.03454"
"SimA_rep4_n115000_d5_corr65_NA25","MICE.1.IMP",100,"[[1.29950752733863, -0.356616911403066, -0.306241505902614, -0.710664768694453, 0.397809027114281], [-0.184029923915805]]","SimA_rep4_n115000_d5_corr65_NA25_MICE.1.IMP_100",0.19829273223877,0.00629734992980957,"2025-06-08 13:18:25.308932"
"SimA_rep5_n115000_d5_corr65_NA25","MICE.1.IMP",100,"[[0.950827321618941, -0.467927914707457, -0.454850241621844, -1.15779352374403, 0.942885164779057], [-0.0299800381535042]]","SimA_rep5_n115000_d5_corr65_NA25_MICE.1.IMP_100",0.210294246673584,0.00644946098327637,"2025-06-08 13:18:25.566149"
"SimA_rep6_n115000_d5_corr65_NA25","MICE.1.IMP",100,"[[1.20762023311409, -0.209756543910664, -0.824051498930321, -0.520155324838018, 0.153359798649891], [0.108723782396732]]","SimA_rep6_n115000_d5_corr65_NA25_MICE.1.IMP_100",0.515881538391113,0.00616598129272461,"2025-06-08 13:18:25.835136"
"SimA_rep7_n115000_d5_corr65_NA25","MICE.1.IMP",100,"[[1.1380882045158, -0.883127869188821, 0.119799335266165, -0.563836841280065, -0.0351382365847526], [-0.0920997581487877]]","SimA_rep7_n115000_d5_corr65_NA25_MICE.1.IMP_100",0.197923183441162,0.00621461868286133,"2025-06-08 13:18:26.414429"
"SimA_rep8_n115000_d5_corr65_NA25","MICE.1.IMP",100,"[[2.13818896194, -1.04358596473933, -0.535821604613056, -0.732824894582273, 0.830639537573071], [-0.485562501319815]]","SimA_rep8_n115000_d5_corr65_NA25_MICE.1.IMP_100",0.196300506591797,0.0103983879089355,"2025-06-08 13:18:26.668188"
"SimA_rep9_n115000_d5_corr65_NA25","MICE.1.IMP",100,"[[1.43471801987837, 0.330372904702806, -1.35868417156572, -0.0832149740007282, 0.500454515706009], [0.312454362969667]]","SimA_rep9_n115000_d5_corr65_NA25_MICE.1.IMP_100",0.200960636138916,0.00611972808837891,"2025-06-08 13:18:26.926611"
"SimA_rep0_n115000_d5_corr65_NA25","MICE.1.IMP",500,"[[1.091429778302, -0.351923015071475, -0.360018822368168, -0.637038115304587, 0.503434518561958], [0.133022216000242]]","SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP_500",0.516429901123047,0.00694465637207031,"2025-06-08 13:18:27.182151"
"SimA_rep1_n115000_d5_corr65_NA25","MICE.1.IMP",500,"[[1.1242257283347, -0.211648556526529, -0.404180419502287, -0.852837470870992, 0.618959674683693], [0.0106890989129671]]","SimA_rep1_n115000_d5_corr65_NA25_MICE.1.IMP_500",0.224790573120117,0.0136606693267822,"2025-06-08 13:18:27.782549"
"SimA_rep2_n115000_d5_corr65_NA25","MICE.1.IMP",500,"[[0.880190415461225, -0.429190033874488, -0.194756571707035, -0.625272189443162, 0.382298405160523], [-0.111324935682167]]","SimA_rep2_n115000_d5_corr65_NA25_MICE.1.IMP_500",0.648131608963013,0.00790762901306152,"2025-06-08 13:18:25.423688"
"SimA_rep3_n115000_d5_corr65_NA25","MICE.1.IMP",500,"[[0.819322676036098, -0.251157407076961, -0.246883722683049, -0.881354562023202, 0.62512611536885], [0.0807991251118101]]","SimA_rep3_n115000_d5_corr65_NA25_MICE.1.IMP_500",0.534712791442871,0.0398328304290771,"2025-06-08 13:18:26.154298"
"SimA_rep4_n115000_d5_corr65_NA25","MICE.1.IMP",500,"[[1.02857430881788, -0.269185624686609, -0.335242397013037, -0.502556838279671, 0.266508717796342], [-0.142176830076764]]","SimA_rep4_n115000_d5_corr65_NA25_MICE.1.IMP_500",0.226797819137573,0.0069119930267334,"2025-06-08 13:18:26.796644"
"SimA_rep5_n115000_d5_corr65_NA25","MICE.1.IMP",500,"[[0.937924386497076, 0.00258624450636622, -0.822331799605305, -0.379151878888228, 0.433054772889677], [-0.041122320574916]]","SimA_rep5_n115000_d5_corr65_NA25_MICE.1.IMP_500",0.526174306869507,0.00671577453613281,"2025-06-08 13:18:27.084846"
