set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,true_beta,true_intercept,center_X,pred_beta,pred_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP,100,"[[1.25779733663093, -0.60478807105187, -1.15137916324615, -0.316191382460819, 1.02845516810152], [0.429369835337095]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP_100,0.684014797210693,0.0075964927673339,2025-06-08 13:18:23.11908,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.25779733663093, -0.60478807105187, -1.15137916324615, -0.316191382460819, 1.02845516810152]",0.429369835337095,0.4817848381860364,0.22441795560936528,0.5190498810383403,0.2177413722573717
SimA_rep1_n115000_d5_corr65_NA25,MICE.1.IMP,100,"[[1.54730696982694, -0.381966459235638, 0.520830588031788, -1.84765447765701, 1.09573882062394], [0.0799668948025023]]",SimA_rep1_n115000_d5_corr65_NA25_MICE.1.IMP_100,0.522828102111816,0.0320324897766113,2025-06-08 13:18:23.886012,SimA,1.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.54730696982694, -0.381966459235638, 0.520830588031788, -1.84765447765701, 1.09573882062394]",0.0799668948025023,0.5153691463601257,0.3624669751313843,0.516128302055458,0.30312159665354604
SimA_rep2_n115000_d5_corr65_NA25,MICE.1.IMP,100,"[[1.35910139411761, -0.213600067625582, -0.477774784861011, -1.14541343674137, 0.738354718680552], [0.131034445676301]]",SimA_rep2_n115000_d5_corr65_NA25_MICE.1.IMP_100,0.453269958496094,0.0059623718261718,2025-06-08 13:18:24.522592,SimA,2.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.35910139411761, -0.213600067625582, -0.477774784861011, -1.14541343674137, 0.738354718680552]",0.131034445676301,0.1949274631926298,0.05056267645053038,0.20553762512229154,0.04499723470105788
SimA_rep3_n115000_d5_corr65_NA25,MICE.1.IMP,100,"[[0.649287982379566, -0.0955798289562295, -0.511944460932012, -1.3859920023699, 1.03129774937139], [-0.025578460751638]]",SimA_rep3_n115000_d5_corr65_NA25_MICE.1.IMP_100,0.215942144393921,0.006188154220581,2025-06-08 13:18:25.03454,SimA,3.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.649287982379566, -0.0955798289562295, -0.511944460932012, -1.3859920023699, 1.03129774937139]",-0.025578460751638,0.5331026097728371,0.2685883293991833,0.5332533228339131,0.2239326507750566
SimA_rep4_n115000_d5_corr65_NA25,MICE.1.IMP,100,"[[1.29950752733863, -0.356616911403066, -0.306241505902614, -0.710664768694453, 0.397809027114281], [-0.184029923915805]]",SimA_rep4_n115000_d5_corr65_NA25_MICE.1.IMP_100,0.19829273223877,0.0062973499298095,2025-06-08 13:18:25.308932,SimA,4.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.29950752733863, -0.356616911403066, -0.306241505902614, -0.710664768694453, 0.397809027114281]",-0.184029923915805,0.17745838244500317,0.1139562697218129,0.21071862098943678,0.10060806025092024
SimA_rep5_n115000_d5_corr65_NA25,MICE.1.IMP,100,"[[0.950827321618941, -0.467927914707457, -0.454850241621844, -1.15779352374403, 0.942885164779057], [-0.0299800381535042]]",SimA_rep5_n115000_d5_corr65_NA25_MICE.1.IMP_100,0.210294246673584,0.0064494609832763,2025-06-08 13:18:25.566149,SimA,5.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.950827321618941, -0.467927914707457, -0.454850241621844, -1.15779352374403, 0.942885164779057]",-0.0299800381535042,0.28186480815749243,0.09857745207285175,0.28230040449728466,0.08229767717532403
SimA_rep6_n115000_d5_corr65_NA25,MICE.1.IMP,100,"[[1.20762023311409, -0.209756543910664, -0.824051498930321, -0.520155324838018, 0.153359798649891], [0.108723782396732]]",SimA_rep6_n115000_d5_corr65_NA25_MICE.1.IMP_100,0.515881538391113,0.0061659812927246,2025-06-08 13:18:25.835136,SimA,6.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.20762023311409, -0.209756543910664, -0.824051498930321, -0.520155324838018, 0.153359798649891]",0.108723782396732,0.4577315889230315,0.24708464059584667,0.4625375149871493,0.20787401063964758
SimA_rep7_n115000_d5_corr65_NA25,MICE.1.IMP,100,"[[1.1380882045158, -0.883127869188821, 0.119799335266165, -0.563836841280065, -0.0351382365847526], [-0.0920997581487877]]",SimA_rep7_n115000_d5_corr65_NA25_MICE.1.IMP_100,0.197923183441162,0.0062146186828613,2025-06-08 13:18:26.414429,SimA,7.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.1380882045158, -0.883127869188821, 0.119799335266165, -0.563836841280065, -0.0351382365847526]",-0.0920997581487877,0.6091748823252975,0.3600306086776549,0.6116874766991816,0.30143923480655666
SimA_rep8_n115000_d5_corr65_NA25,MICE.1.IMP,100,"[[2.13818896194, -1.04358596473933, -0.535821604613056, -0.732824894582273, 0.830639537573071], [-0.485562501319815]]",SimA_rep8_n115000_d5_corr65_NA25_MICE.1.IMP_100,0.196300506591797,0.0103983879089355,2025-06-08 13:18:26.668188,SimA,8.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[2.13818896194, -1.04358596473933, -0.535821604613056, -0.732824894582273, 0.830639537573071]",-0.485562501319815,0.2590948337299634,0.11349542121373993,0.3139483158932329,0.13387467479277584
SimA_rep9_n115000_d5_corr65_NA25,MICE.1.IMP,100,"[[1.43471801987837, 0.330372904702806, -1.35868417156572, -0.0832149740007282, 0.500454515706009], [0.312454362969667]]",SimA_rep9_n115000_d5_corr65_NA25_MICE.1.IMP_100,0.200960636138916,0.0061197280883789,2025-06-08 13:18:26.926611,SimA,9.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.43471801987837, 0.330372904702806, -1.35868417156572, -0.0832149740007282, 0.500454515706009]",0.312454362969667,0.7737295113026065,0.5452240223041348,0.7851651347319143,0.47062464007657573
