corr,pattern
-0.3395294696629967,"(0, 0, 0, 0, 0)"
0.42539136813839384,"(0, 0, 0, 0, 1)"
0.33288453179754085,"(0, 0, 0, 1, 0)"
-0.4445138918407405,"(0, 0, 0, 1, 1)"
-0.702792517162812,"(0, 0, 1, 0, 0)"
0.9118733074322511,"(0, 0, 1, 0, 1)"
-0.46044761454807825,"(0, 0, 1, 1, 0)"
-0.17267535169521797,"(0, 0, 1, 1, 1)"
-0.8488247338387205,"(0, 1, 0, 0, 0)"
-0.4433024122266367,"(0, 1, 0, 0, 1)"
0.47064438332163094,"(0, 1, 0, 1, 0)"
-0.15054380324659022,"(0, 1, 0, 1, 1)"
0.4906228866775457,"(0, 1, 1, 0, 0)"
-0.7311762192818281,"(0, 1, 1, 0, 1)"
0.364462781931296,"(0, 1, 1, 1, 0)"
0.5788918823241194,"(0, 1, 1, 1, 1)"
0.9304385110216817,"(1, 0, 0, 0, 0)"
0.4248997210663503,"(1, 0, 0, 0, 1)"
-0.9595399502325757,"(1, 0, 0, 1, 0)"
-0.2288669739092799,"(1, 0, 0, 1, 1)"
0.46859512669699455,"(1, 0, 1, 0, 0)"
-0.24229738360976283,"(1, 0, 1, 0, 1)"
0.40139352383604376,"(1, 0, 1, 1, 0)"
-0.320193764845776,"(1, 0, 1, 1, 1)"
-0.5958755074209632,"(1, 1, 0, 0, 0)"
-0.6240224168041149,"(1, 1, 0, 0, 1)"
0.7861809614896584,"(1, 1, 0, 1, 0)"
0.5517776436690656,"(1, 1, 0, 1, 1)"
-0.5253609800881232,"(1, 1, 1, 0, 0)"
-0.7052549817032943,"(1, 1, 1, 0, 1)"
-0.9969640547585561,"(1, 1, 1, 1, 0)"
-0.5435781501706569,"(1, 1, 1, 1, 1)"
