var,pattern
0.16217095396185544,"(0, 0, 0, 0, 0)"
0.4702811975001451,"(0, 0, 0, 0, 1)"
0.9441140323744612,"(0, 0, 0, 1, 0)"
0.0572486084532674,"(0, 0, 0, 1, 1)"
0.6882036879182956,"(0, 0, 1, 0, 0)"
0.6302856367183274,"(0, 0, 1, 0, 1)"
0.5058266369230336,"(0, 0, 1, 1, 0)"
0.6661465603271061,"(0, 0, 1, 1, 1)"
0.5072168280425052,"(0, 1, 0, 0, 0)"
0.10098329644044812,"(0, 1, 0, 0, 1)"
0.19959954216548814,"(0, 1, 0, 1, 0)"
0.6749725237309024,"(0, 1, 0, 1, 1)"
0.9162898288474355,"(0, 1, 1, 0, 0)"
0.7195825375891225,"(0, 1, 1, 0, 1)"
0.5443380680556709,"(0, 1, 1, 1, 0)"
0.21717493598847049,"(0, 1, 1, 1, 1)"
0.6596656775378317,"(1, 0, 0, 0, 0)"
0.38777996120051816,"(1, 0, 0, 0, 1)"
0.3122041501958984,"(1, 0, 0, 1, 0)"
0.0810260043193981,"(1, 0, 0, 1, 1)"
0.4813712864954287,"(1, 0, 1, 0, 0)"
0.25039644421353713,"(1, 0, 1, 0, 1)"
0.31413268547506823,"(1, 0, 1, 1, 0)"
0.9964768506507068,"(1, 0, 1, 1, 1)"
0.9255571626868841,"(1, 1, 0, 0, 0)"
0.7583219260124365,"(1, 1, 0, 0, 1)"
0.7034004084027299,"(1, 1, 0, 1, 0)"
0.724354278088369,"(1, 1, 0, 1, 1)"
0.07974896707895351,"(1, 1, 1, 0, 0)"
0.7254375474524963,"(1, 1, 1, 0, 1)"
0.3951981691565033,"(1, 1, 1, 1, 0)"
0.8779576092598326,"(1, 1, 1, 1, 1)"
