exp,set_up,method,n_train,bayes_adj,metric,score,filter
SimB,SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,brier,0.22979413244471525,all
SimB,SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,brier,0.06665976695063205,all
SimB,SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,misclassification,0.34086666666666665,all
SimB,SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,misclassification,0.09726666666666661,all
SimB,SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,mae_bayes,0.19681804397519262,all
SimB,SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,mae_bayes,0.19681804397519262,all
SimB,SimB_rep1_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,brier,0.2020719784715801,all
SimB,SimB_rep1_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,brier,0.038641106706080036,all
SimB,SimB_rep1_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,misclassification,0.30813333333333337,all
SimB,SimB_rep1_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,misclassification,0.06313333333333337,all
SimB,SimB_rep1_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,mae_bayes,0.1395090179900264,all
SimB,SimB_rep1_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,mae_bayes,0.1395090179900264,all
SimB,SimB_rep2_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,brier,0.2023184433117305,all
SimB,SimB_rep2_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,brier,0.04012964514861403,all
SimB,SimB_rep2_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,misclassification,0.3112666666666667,all
SimB,SimB_rep2_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,misclassification,0.07220000000000004,all
SimB,SimB_rep2_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,mae_bayes,0.15090552584344266,all
SimB,SimB_rep2_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,mae_bayes,0.15090552584344266,all
SimB,SimB_rep3_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,brier,0.1993812821818091,all
