sim,replicate,n,d,corr,prop_NA,true_beta,true_intercept,center_X,set_up
SimB,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimB_rep0_n115000_d5_corrMIXTURE_NA25
SimB,1.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimB_rep1_n115000_d5_corrMIXTURE_NA25
SimB,2.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimB_rep2_n115000_d5_corrMIXTURE_NA25
SimB,3.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimB_rep3_n115000_d5_corrMIXTURE_NA25
SimB,4.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimB_rep4_n115000_d5_corrMIXTURE_NA25
SimB,5.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimB_rep5_n115000_d5_corrMIXTURE_NA25
SimB,6.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimB_rep6_n115000_d5_corrMIXTURE_NA25
SimB,7.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimB_rep7_n115000_d5_corrMIXTURE_NA25
SimB,8.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimB_rep8_n115000_d5_corrMIXTURE_NA25
SimB,9.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimB_rep9_n115000_d5_corrMIXTURE_NA25
