"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimB_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.23343875598143, -0.38354725852506, -0.687234815325072, -0.437472354725446, -0.514285197871708], [0.834793876045875]]","SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.648005723953247,0.00725889205932617,"2025-06-09 18:40:21.786774"
"SimB_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.29460655406498, -0.280416139747801, -0.964669587926835, -0.57209892840677, 0.847016818359297], [0.332689088861048]]","SimB_rep1_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.495444536209106,0.0288455486297607,"2025-06-09 18:40:22.63684"
"SimB_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.902679735042191, -0.590110605582714, -0.263743569782625, -0.729841801741914, 0.516266905185723], [0.308380209282242]]","SimB_rep2_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.215814352035522,0.00619673728942871,"2025-06-09 18:40:23.326283"
"SimB_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.03336093818994, -0.80674298336246, -0.337835332610401, -0.934622521503282, 0.416410999897916], [0.0847313300242324]]","SimB_rep3_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.503193616867065,0.00632095336914062,"2025-06-09 18:40:23.712828"
"SimB_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.942462704305694, -0.303865541392782, -0.494086258575578, -0.330830884126044, 0.687420605114559], [0.0823812835106658]]","SimB_rep4_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.202407836914062,0.010561466217041,"2025-06-09 18:40:24.379721"
"SimB_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.48831339131362, -0.0167447270743165, -0.391633133998736, -1.04866518001484, 1.33415257995217], [-0.272396534633417]]","SimB_rep5_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.210628032684326,0.00665736198425293,"2025-06-09 18:40:24.749233"
"SimB_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.995134061537743, 0.615159385285069, 0.282348841716772, -1.17023651570936, 0.322384766797382], [0.191584610721398]]","SimB_rep6_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.212235927581787,0.00660562515258789,"2025-06-09 18:40:25.123608"
"SimB_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.05929966257855, -0.534154137399094, -0.0400304159295904, -1.21655897566506, 0.598846837153536], [-0.0528900183061541]]","SimB_rep7_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.558145523071289,0.00670957565307617,"2025-06-09 18:40:25.499577"
"SimB_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.32943021545668, -0.382829965253134, -0.197934135754392, -0.832238693291833, 0.333072356540027], [0.152928637850065]]","SimB_rep8_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.209831476211548,0.00663280487060547,"2025-06-09 18:40:26.225324"
"SimB_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.847312912087604, -0.608767035591135, -0.104992902617747, -0.574540171964727, 0.504353873541185], [-0.0849390491484134]]","SimB_rep9_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.223056077957153,0.00678348541259766,"2025-06-09 18:40:26.595491"
