"exp","set_up","method","n_train","bayes_adj","metric","score","filter"
"SimC","SimC_rep0_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","brier","0.17005347694874254","all"
"SimC","SimC_rep0_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","brier","0.05669772219962434","all"
"SimC","SimC_rep0_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","misclassification","0.24060000000000004","all"
"SimC","SimC_rep0_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","misclassification","0.08493333333333342","all"
"SimC","SimC_rep0_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","mae_bayes","0.1682126517661532","all"
"SimC","SimC_rep0_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","mae_bayes","0.1682126517661532","all"
"SimC","SimC_rep1_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","brier","0.16215485441475597","all"
"SimC","SimC_rep1_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","brier","0.0482028364911245","all"
"SimC","SimC_rep1_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","misclassification","0.21626666666666672","all"
"SimC","SimC_rep1_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","misclassification","0.05920000000000003","all"
"SimC","SimC_rep1_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","mae_bayes","0.1315438380575209","all"
"SimC","SimC_rep1_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","mae_bayes","0.1315438380575209","all"
"SimC","SimC_rep2_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","brier","0.1856746645350321","all"
"SimC","SimC_rep2_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","brier","0.06994088831320242","all"
"SimC","SimC_rep2_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","misclassification","0.24913333333333332","all"
"SimC","SimC_rep2_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","misclassification","0.09119999999999995","all"
"SimC","SimC_rep2_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","mae_bayes","0.17752326726987952","all"
"SimC","SimC_rep2_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","mae_bayes","0.17752326726987952","all"
"SimC","SimC_rep3_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","brier","0.16037297389525823","all"
"SimC","SimC_rep3_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","brier","0.04633956101841756","all"
"SimC","SimC_rep3_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","misclassification","0.21173333333333333","all"
