"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimC_rep0_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[1.74713680940048, 0.16766581990835, -1.06049172665719, -0.48099188117888, 0.41671233715528], [0.448697999620537]]","SimC_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.767540454864502,0.00817012786865234,"2025-06-09 18:41:44.04821"
"SimC_rep1_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[1.76460487478276, -1.0445880660121, -0.037555510190272, -0.753217912401504, 0.571318171352431], [0.298793812976501]]","SimC_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.53095269203186,0.0285885334014893,"2025-06-09 18:41:45.032341"
"SimC_rep2_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[-0.632231357973611, 3.08006170238307, -0.241727038353068, -1.60620637283494, 0.415308300978931], [-0.23359114263544]]","SimC_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.207205772399902,0.00614213943481445,"2025-06-09 18:41:45.753481"
"SimC_rep3_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[0.193885838101627, 0.550887251811756, -0.336082253435582, -0.569807543466541, 0.471501536560912], [-0.229865956156735]]","SimC_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.507880210876465,0.00611352920532227,"2025-06-09 18:41:46.023508"
"SimC_rep4_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[0.884170993358846, -0.696127821816073, 0.253250099885292, -0.778003024653879, 0.422277224448534], [0.429933262942224]]","SimC_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.201244592666626,0.0107719898223877,"2025-06-09 18:41:46.695812"
"SimC_rep5_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[0.472545939819895, -0.442825263587163, 0.284764172701258, -0.50594591721843, 0.292869568082759], [0.315081540397199]]","SimC_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.198409795761108,0.0061800479888916,"2025-06-09 18:41:47.062703"
"SimC_rep6_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[0.26389303654658, -0.408079509494801, -0.187343553239161, -0.358915280485845, 0.397587965318347], [0.248792241996638]]","SimC_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.190980195999146,0.0104875564575195,"2025-06-09 18:41:47.419517"
"SimC_rep7_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[1.11148454654388, -0.962593360793251, 0.249794365467678, -0.709797904458718, 0.411025269504544], [0.258809580583465]]","SimC_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.207918643951416,0.0104513168334961,"2025-06-09 18:41:47.771094"
"SimC_rep8_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[1.23223939603166, 0.439892015861169, -0.952616814454954, -0.865470710602095, 0.633951844304079], [-0.0909296311778153]]","SimC_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.538833379745483,0.0110166072845459,"2025-06-09 18:41:48.144288"
"SimC_rep9_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[1.20537565735526, -0.703771429754002, -0.307766146496699, -0.421262647891699, 0.415695096889491], [0.087027042956165]]","SimC_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.202159881591797,0.0066530704498291,"2025-06-09 18:41:48.845681"
"SimC_rep0_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.93845470344296, -0.494783922241753, -0.453148076631563, -0.446814443618354, 0.517000513907676], [0.183295348983512]]","SimC_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.221185207366943,0.00650954246520996,"2025-06-09 18:41:49.224642"
"SimC_rep1_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.890231374873267, 0.0650988747005827, -0.0186679334478553, -0.769877424327576, 0.320467895353737], [0.215059907091141]]","SimC_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.562433242797852,0.00661849975585938,"2025-06-09 18:41:49.505286"
"SimC_rep2_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.445783261378186, 0.314168084296276, -0.393044741976688, -0.544785933112936, 0.424028371695863], [0.211189930056938]]","SimC_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.219364643096924,0.00672101974487305,"2025-06-09 18:41:50.128983"
"SimC_rep3_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.0543628854112381, 0.651296606783335, -0.135993102625565, -0.842988821756091, 0.5162453711078], [0.0690925299056336]]","SimC_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.221052408218384,0.00667572021484375,"2025-06-09 18:41:50.408265"
"SimC_rep4_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.395132672743956, 0.0920379051608578, -0.0568373225132364, -0.599524140561664, 0.421422759022915], [0.197936564905972]]","SimC_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.22783374786377,0.00686526298522949,"2025-06-09 18:41:50.688482"
"SimC_rep5_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.930121051948619, -0.308061247369219, -0.669684953107404, -0.264265194339813, 0.552288615825166], [0.0353653201308014]]","SimC_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.527122497558594,0.00692558288574219,"2025-06-09 18:41:50.973248"
"SimC_rep6_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[1.07380732784315, -0.133814727477491, -0.132452829002462, -0.736042944530663, 0.476476303158813], [0.339001296452139]]","SimC_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.23750114440918,0.00659465789794922,"2025-06-09 18:41:51.561464"
"SimC_rep7_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.047827288301988, 0.285014880932497, -0.0863439476976898, -0.733980131243937, 0.508067989015366], [0.0592418949304786]]","SimC_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.22774863243103,0.0067138671875,"2025-06-09 18:41:51.857379"
"SimC_rep8_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.509698658995702, 0.0102433840557139, -0.364248896304428, -0.858892308148973, 0.655664867527009], [0.0412250764920675]]","SimC_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.232406377792358,0.00653505325317383,"2025-06-09 18:41:52.142146"
"SimC_rep9_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[-0.0785093087792343, 0.65173853249445, -0.228219625837062, -0.55403994969319, 0.352197550572399], [0.151522354971497]]","SimC_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.573408365249634,0.00662922859191895,"2025-06-09 18:41:52.434616"
"SimC_rep0_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.362013602396786, 0.393097431728393, -0.340288467384977, -0.660009711422489, 0.513925252432052], [0.139519156050792]]","SimC_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.237874031066895,0.00681877136230469,"2025-06-09 18:41:53.072161"
"SimC_rep1_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.74338402032395, -0.0518415987929236, -0.280941533952975, -0.548746581571962, 0.416449785868177], [0.2308942887516]]","SimC_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.235830545425415,0.00671195983886719,"2025-06-09 18:41:53.370402"
"SimC_rep2_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.783365488963795, -0.118892475374449, -0.270023444688413, -0.663389811616173, 0.474327819777205], [0.273610143013356]]","SimC_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.542996406555176,0.00699067115783691,"2025-06-09 18:41:53.672434"
"SimC_rep3_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.537902002459563, 0.148204238695714, -0.229458499104374, -0.724248398353692, 0.455568139200314], [0.279289737027148]]","SimC_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.230236530303955,0.0112411975860596,"2025-06-09 18:41:54.277153"
"SimC_rep4_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.693627847955435, -0.244025536304654, 0.0803561614663104, -0.6833074001897, 0.400298871686143], [0.307532635921224]]","SimC_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.245052337646484,0.00708436965942383,"2025-06-09 18:41:54.584093"
"SimC_rep5_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.746744506780228, -0.154364384889623, -0.396211234926522, -0.562075705105312, 0.521200785183734], [0.160851658070469]]","SimC_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.25130820274353,0.00732016563415527,"2025-06-09 18:41:54.891841"
"SimC_rep6_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.766906087203331, -0.243154253353497, -0.184596540626339, -0.675569582095514, 0.559467658293656], [0.184026643884843]]","SimC_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.250171422958374,0.00693464279174805,"2025-06-09 18:41:55.228373"
"SimC_rep7_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.48890841161674, -0.177430198909149, -0.285050222414953, -0.547313196559848, 0.499718893842002], [0.0949643990665771]]","SimC_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.583583116531372,0.0068359375,"2025-06-09 18:41:55.54204"
"SimC_rep8_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.899592492468661, 0.194325589673395, -0.489519205588262, -0.750282536779403, 0.460471661615902], [0.17964020503113]]","SimC_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.251002311706543,0.00680780410766602,"2025-06-09 18:41:56.186171"
"SimC_rep9_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.418218681354174, 0.104003640373413, -0.211971199656807, -0.609452911503817, 0.382091092719206], [0.193803564317627]]","SimC_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.244433164596558,0.00686168670654297,"2025-06-09 18:41:56.496362"
"SimC_rep0_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.692447674982602, -0.0108494876571781, -0.232550237592907, -0.593308171903892, 0.432042005869642], [0.175087489950391]]","SimC_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.361146450042725,0.00830602645874023,"2025-06-09 18:41:56.803443"
"SimC_rep1_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.509213070779831, 0.172122262055701, -0.365048943198901, -0.563558542568321, 0.447632861185477], [0.13142840342852]]","SimC_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.677365303039551,0.00780344009399414,"2025-06-09 18:41:57.226978"
"SimC_rep2_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.706733369901951, 0.0213756935282985, -0.270162852993771, -0.609971577868624, 0.449281827730125], [0.212201196382282]]","SimC_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.643694877624512,0.0123119354248047,"2025-06-09 18:41:57.966116"
"SimC_rep3_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.493827868161607, 0.218206600566896, -0.218358859946119, -0.651144336389108, 0.416181060228828], [0.236116084661357]]","SimC_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.366641998291016,0.0082554817199707,"2025-06-09 18:41:58.677742"
"SimC_rep4_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.539132613510396, 0.0760140396395654, -0.170942981863847, -0.630330596835028, 0.407987426675633], [0.176405759372432]]","SimC_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.404224872589111,0.00822854042053223,"2025-06-09 18:41:59.107664"
"SimC_rep5_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.713379238249242, 0.00710488423106337, -0.234370264654806, -0.656727848928545, 0.453223602935252], [0.175380125296937]]","SimC_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.702758073806763,0.00823497772216797,"2025-06-09 18:41:59.578886"
"SimC_rep6_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.742093022444349, -0.126307239144761, -0.224206691428994, -0.606564957413593, 0.447651794767905], [0.198530492218484]]","SimC_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.377863883972168,0.00832962989807129,"2025-06-09 18:42:00.34754"
"SimC_rep7_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.730355365747006, -0.128999830844419, -0.297434333172394, -0.576049165339797, 0.463467570123025], [0.131992505495014]]","SimC_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.37991738319397,0.00801920890808105,"2025-06-09 18:42:00.789706"
"SimC_rep8_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.712757219914091, -0.071916010697808, -0.164113723373004, -0.663374167897566, 0.451672836066494], [0.153309256615823]]","SimC_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.664811372756958,0.00788331031799316,"2025-06-09 18:42:01.236423"
"SimC_rep9_n115000_d5_corr95_NA25","MICE.1.IMP",5000,"[[0.589088326220612, 0.068787769548175, -0.295277182046192, -0.585795164152717, 0.43994055924543], [0.11594860278959]]","SimC_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_5000",0.648874044418335,0.00796127319335938,"2025-06-09 18:42:01.969596"
"SimC_rep0_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.758626756340809, -0.112462118721085, -0.247681124816871, -0.616434065812913, 0.462016301234214], [0.184418382364733]]","SimC_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.487022161483765,0.00914359092712402,"2025-06-09 18:42:02.681849"
"SimC_rep1_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.566409448743409, 0.097404145187488, -0.285687165948326, -0.584082844417977, 0.443911252914388], [0.181588113176243]]","SimC_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.819858312606812,0.00922703742980957,"2025-06-09 18:42:03.237614"
"SimC_rep2_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.618524635399585, 0.0724432779151113, -0.264487347617399, -0.577510841141346, 0.432991956355469], [0.184038392841222]]","SimC_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.543421506881714,0.00959348678588867,"2025-06-09 18:42:04.123078"
"SimC_rep3_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.662805547389166, 0.000797487699116544, -0.297464482103715, -0.569348980078213, 0.446681885150866], [0.201117177058538]]","SimC_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.853795766830444,0.00913286209106445,"2025-06-09 18:42:04.733324"
"SimC_rep4_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.711680208430159, -0.024947964520253, -0.239158152212273, -0.612338856215957, 0.425281903982583], [0.176617867594792]]","SimC_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.8083815574646,0.00932192802429199,"2025-06-09 18:42:05.660786"
"SimC_rep5_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.757470081631933, -0.0313211018881794, -0.283564733049001, -0.608381430078903, 0.427587232000243], [0.15913832994427]]","SimC_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.539720058441162,0.00919389724731445,"2025-06-09 18:42:06.540855"
"SimC_rep6_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.709459665725096, -0.015459175255608, -0.262961504037476, -0.632175992757164, 0.446773651754107], [0.1546493422901]]","SimC_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.845494985580444,0.00945067405700684,"2025-06-09 18:42:07.162814"
"SimC_rep7_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.608912509174229, 0.0291501176181017, -0.307352805833374, -0.548459272749612, 0.428205450742125], [0.127560611601504]]","SimC_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.852602481842041,0.014732837677002,"2025-06-09 18:42:08.128713"
"SimC_rep8_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.730487743938066, -0.0683560053734878, -0.263198323779275, -0.599799822086747, 0.456417062671002], [0.133244619591192]]","SimC_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.571780443191528,0.00963068008422852,"2025-06-09 18:42:09.056586"
"SimC_rep9_n115000_d5_corr95_NA25","MICE.1.IMP",10000,"[[0.674336620187174, -0.0763958510696369, -0.181430026393054, -0.654037638151699, 0.450609525047556], [0.161492368281588]]","SimC_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_10000",0.867873430252075,0.00939273834228516,"2025-06-09 18:42:09.69834"
"SimC_rep0_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.678252265380724, -0.0138518516786819, -0.269571872227604, -0.600730571592942, 0.445806459418253], [0.17182649037705]]","SimC_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_50000",2.49077010154724,0.0179195404052734,"2025-06-09 18:42:10.658892"
"SimC_rep1_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.711013425462575, -0.0585346643383943, -0.260882725097263, -0.586540132146631, 0.436340375514409], [0.176044543519912]]","SimC_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_50000",2.43182349205017,0.0182061195373535,"2025-06-09 18:42:13.233679"
"SimC_rep2_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.665693653720371, -0.0388405417425972, -0.252814094637515, -0.583893204584042, 0.43072771720976], [0.170158258490633]]","SimC_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_50000",2.39734649658203,0.0176596641540527,"2025-06-09 18:42:15.757585"
"SimC_rep3_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.678114337591334, 0.0194825376972734, -0.282143456147427, -0.606507099282979, 0.440105792927008], [0.163837725035316]]","SimC_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_50000",2.48582744598389,0.0178577899932861,"2025-06-09 18:42:18.235371"
"SimC_rep4_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.684084190871896, -0.023312161625556, -0.259058000306411, -0.581625299180147, 0.426996020378173], [0.144561886893539]]","SimC_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_50000",2.15514469146729,0.0245850086212158,"2025-06-09 18:42:20.814504"
"SimC_rep5_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.750608170376303, -0.0843695544793646, -0.258460678248619, -0.584835972235754, 0.434637490137525], [0.162704747548888]]","SimC_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_50000",2.52618336677551,0.0177862644195557,"2025-06-09 18:42:23.055747"
"SimC_rep6_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.750512897166181, -0.0544527294638382, -0.288600070291415, -0.594355717222546, 0.437666322892262], [0.171544178715928]]","SimC_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_50000",2.09550213813782,0.0178303718566895,"2025-06-09 18:42:25.671176"
"SimC_rep7_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.646327835691133, 0.0230183990497599, -0.271899269218513, -0.590391525894175, 0.437083821581789], [0.160361555793214]]","SimC_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_50000",2.22081565856934,0.0193774700164795,"2025-06-09 18:42:27.870319"
"SimC_rep8_n115000_d5_corr95_NA25","MICE.1.IMP",50000,"[[0.775626982534535, -0.106815431321677, -0.272684835639554, -0.594585604400965, 0.442324734368372], [0.17226292227157]]","SimC_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_50000",2.27353405952454,0.0182292461395264,"2025-06-09 18:42:30.190737"
