corr,pattern
0.026018213538029855,"(0, 0, 0, 0, 0)"
0.9198484969334276,"(0, 0, 0, 0, 1)"
0.9099950536429768,"(0, 0, 0, 1, 0)"
0.7498153620289141,"(0, 0, 0, 1, 1)"
0.2733865716570313,"(0, 0, 1, 0, 0)"
0.13939214616051965,"(0, 0, 1, 0, 1)"
0.6596801498413578,"(0, 0, 1, 1, 0)"
0.5572272884768933,"(0, 0, 1, 1, 1)"
0.8811331513762322,"(0, 1, 0, 0, 0)"
0.3314534248789504,"(0, 1, 0, 0, 1)"
0.6302694229275256,"(0, 1, 0, 1, 0)"
0.2251756312308763,"(0, 1, 0, 1, 1)"
0.8416449943452358,"(0, 1, 1, 0, 0)"
0.9474567079289065,"(0, 1, 1, 0, 1)"
0.06270016408595937,"(0, 1, 1, 1, 0)"
0.5118895111245702,"(0, 1, 1, 1, 1)"
0.5564713078853735,"(1, 0, 0, 0, 0)"
0.7097655606003254,"(1, 0, 0, 0, 1)"
0.5317311329514353,"(1, 0, 0, 1, 0)"
0.5522909809095948,"(1, 0, 0, 1, 1)"
0.14895182491378006,"(1, 0, 1, 0, 0)"
0.3611341139923729,"(1, 0, 1, 0, 1)"
0.06301809270701948,"(1, 0, 1, 1, 0)"
0.7645168355561781,"(1, 0, 1, 1, 1)"
0.2501319319627554,"(1, 1, 0, 0, 0)"
0.9015655046532356,"(1, 1, 0, 0, 1)"
0.37050732843418394,"(1, 1, 0, 1, 0)"
0.9150994020186761,"(1, 1, 0, 1, 1)"
0.020448565010488078,"(1, 1, 1, 0, 0)"
0.8348903851912518,"(1, 1, 1, 0, 1)"
0.4657408464889313,"(1, 1, 1, 1, 0)"
0.8482442730988937,"(1, 1, 1, 1, 1)"
