exp,set_up,method,n_train,bayes_adj,metric,score,filter
SimD,SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,brier,0.20394496548724952,all
SimD,SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,brier,0.03706778503677294,all
SimD,SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,misclassification,0.3214,all
SimD,SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,misclassification,0.06573333333333331,all
SimD,SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,mae_bayes,0.1456278993836532,all
SimD,SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,mae_bayes,0.1456278993836532,all
SimD,SimD_rep1_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,brier,0.21027371137367687,all
SimD,SimD_rep1_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,brier,0.042642260738430304,all
SimD,SimD_rep1_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,misclassification,0.3236,all
SimD,SimD_rep1_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,misclassification,0.06620000000000004,all
SimD,SimD_rep1_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,mae_bayes,0.1538286098801899,all
SimD,SimD_rep1_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,mae_bayes,0.1538286098801899,all
SimD,SimD_rep2_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,brier,0.20984935725761855,all
SimD,SimD_rep2_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,brier,0.039015495707702574,all
SimD,SimD_rep2_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,misclassification,0.33120000000000005,all
SimD,SimD_rep2_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,misclassification,0.06880000000000008,all
SimD,SimD_rep2_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,mae_bayes,0.1759279914509296,all
SimD,SimD_rep2_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,mae_bayes,0.1759279914509296,all
SimD,SimD_rep3_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,brier,0.20615547096070705,all
SimD,SimD_rep3_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,brier,0.03750345018405299,all
SimD,SimD_rep3_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,misclassification,0.3247333333333333,all
SimD,SimD_rep3_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,misclassification,0.06766666666666665,all
SimD,SimD_rep3_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,mae_bayes,0.14958082088241767,all
SimD,SimD_rep3_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,mae_bayes,0.14958082088241767,all
SimD,SimD_rep4_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,brier,0.22781323991992336,all
SimD,SimD_rep4_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,brier,0.06033949680364506,all
SimD,SimD_rep4_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,misclassification,0.37306666666666666,all
SimD,SimD_rep4_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,misclassification,0.12080000000000002,all
SimD,SimD_rep4_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,mae_bayes,0.1954055353109529,all
SimD,SimD_rep4_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,mae_bayes,0.1954055353109529,all
SimD,SimD_rep5_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,brier,0.21518759971519338,all
SimD,SimD_rep5_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,True,brier,0.04972341452117471,all
SimD,SimD_rep5_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,False,misclassification,0.3446,all
