"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimD_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.844865448703272, -0.439095473340095, 0.0558724108476714, -0.841000900468499, 0.542503355245422], [0.19600300187653]]","SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.681197166442871,0.00715732574462891,"2025-06-09 18:42:02.060462"
"SimD_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.975410961653067, -0.541938354469679, -0.102670973055318, -0.391674504803675, 0.115974920305355], [-0.179228545200709]]","SimD_rep1_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.510545015335083,0.0293071269989014,"2025-06-09 18:42:02.95012"
"SimD_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.400629474130626, -0.337251608537478, -0.124904819878503, -0.320585274546409, 0.202171397214127], [0.0936797662277903]]","SimD_rep2_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.253227472305298,0.00715160369873047,"2025-06-09 18:42:03.654356"
"SimD_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.10663914776404, 0.0276239497392213, -0.812142944003253, -0.468380786157396, 0.526767424737983], [-0.570028710951421]]","SimD_rep3_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.512699604034424,0.00615191459655762,"2025-06-09 18:42:04.085752"
"SimD_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.225908322365706, -0.465753192981813, -0.324163403666435, 0.0895852577576667, 0.66959617082781], [-0.0690645358214652]]","SimD_rep4_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.193857908248901,0.00611734390258789,"2025-06-09 18:42:04.758147"
"SimD_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.742858929796011, -0.455199514484459, -0.46782629767878, -0.58955395676377, 0.333331851758094], [0.501462448303079]]","SimD_rep5_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.199496030807495,0.00617289543151855,"2025-06-09 18:42:05.112816"
"SimD_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.10577466774764, -0.576286777638795, 0.163702498016776, -0.407588789879685, 0.265123289446676], [-0.0252965928969384]]","SimD_rep6_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.198115825653076,0.00630474090576172,"2025-06-09 18:42:05.469442"
"SimD_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.929402793183898, -0.0879406345192986, -0.476134960007879, -0.87044063508768, 0.650074332373285], [-0.110632521002022]]","SimD_rep7_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.19903302192688,0.010561466217041,"2025-06-09 18:42:05.825142"
"SimD_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.635128673525208, 0.0732289706111043, -0.243803363501145, -0.882102840465062, 0.852806879950196], [-0.538971810358105]]","SimD_rep8_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.582194566726685,0.00680375099182129,"2025-06-09 18:42:06.190427"
"SimD_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.728328131417425, -0.376242686991357, -0.439843432237136, -0.19061412875752, 0.33229483699966], [0.0555823153398619]]","SimD_rep9_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.196982383728027,0.00617170333862305,"2025-06-09 18:42:06.936416"
"SimD_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[0.815637245572044, -0.413055855534495, -0.159624549070448, -0.548111386292072, 0.334601289187458], [0.0584346286352505]]","SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.522085666656494,0.00639963150024414,"2025-06-09 18:42:07.289497"
"SimD_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[0.741173295384084, -0.446849918654558, 0.126711559946408, -0.378219822845451, 0.128108942586584], [0.0721508537365563]]","SimD_rep1_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.20890736579895,0.0257880687713623,"2025-06-09 18:42:07.869952"
"SimD_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[0.703147275151193, -0.394260278139464, -0.0212765814112409, -0.478062874453006, 0.303089733884847], [0.0157825322318042]]","SimD_rep2_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.215134382247925,0.00641131401062012,"2025-06-09 18:42:08.155204"
"SimD_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[0.842749499701815, -0.393867322657799, -0.158172902487914, -0.385649557217831, 0.362534347465751], [-0.0357222881122518]]","SimD_rep3_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.223148822784424,0.00639057159423828,"2025-06-09 18:42:08.426447"
"SimD_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[0.81425618947459, -0.548148626603215, -0.320349161420341, -0.363965282586383, 0.324487353370785], [0.198603237508205]]","SimD_rep4_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.559522151947021,0.00718498229980469,"2025-06-09 18:42:08.70879"
"SimD_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[0.700650360833362, -0.214801236243714, -0.280966147024126, -0.436250343228065, 0.134478906010096], [-0.0558826852429404]]","SimD_rep5_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.223493576049805,0.0063939094543457,"2025-06-09 18:42:09.335597"
"SimD_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[0.623179234857528, -0.298802626650972, 0.00107152033890839, -0.467206456261071, 0.278656309063136], [0.109616567575833]]","SimD_rep6_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.216011047363281,0.0066523551940918,"2025-06-09 18:42:09.650697"
"SimD_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[0.863686415705481, -0.284831796658831, -0.385183141197748, -0.493243356495423, 0.486059972356432], [-0.0543693537190106]]","SimD_rep7_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.576048135757446,0.00670385360717773,"2025-06-09 18:42:09.921954"
"SimD_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[1.04692617894233, -0.328217306192369, -0.398726762535399, -0.400004288190724, 0.323959947340786], [-0.146007082189988]]","SimD_rep8_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.216023445129395,0.0109198093414307,"2025-06-09 18:42:10.554744"
"SimD_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[0.831359851060222, -0.328029699757916, -0.441746598078718, -0.310594965913496, 0.501593381439236], [0.143671084168425]]","SimD_rep9_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.224320888519287,0.00659871101379395,"2025-06-09 18:42:10.836697"
"SimD_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.888910824185324, -0.389657838128275, -0.352811807095953, -0.576427718926728, 0.370263213881446], [0.00176512146242551]]","SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.259464502334595,0.0109322071075439,"2025-06-09 18:42:11.119018"
"SimD_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.890557690443984, -0.350799168770442, -0.219899162250181, -0.499582412738685, 0.224152424944021], [0.0443432064285613]]","SimD_rep1_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.583786010742188,0.00680112838745117,"2025-06-09 18:42:11.442136"
"SimD_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.664042399509934, -0.285847560769598, -0.0794805377439568, -0.658271939844209, 0.380233712473855], [-0.028640366236859]]","SimD_rep2_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.230277061462402,0.0067131519317627,"2025-06-09 18:42:12.082983"
"SimD_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.902078919811177, -0.333197645538356, -0.315031688165167, -0.4694447721527, 0.455056493875963], [-0.186728320832376]]","SimD_rep3_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.242900609970093,0.00724434852600098,"2025-06-09 18:42:12.372407"
"SimD_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.849383309304344, -0.445101217675267, -0.451365924167951, -0.387714284734053, 0.370383210645109], [-0.0109859238435619]]","SimD_rep4_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.537467479705811,0.0114066600799561,"2025-06-09 18:42:12.676059"
"SimD_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.785176277150567, -0.253069625361475, -0.326556032483619, -0.483288548208266, 0.400783937895858], [0.0259359082702699]]","SimD_rep5_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.254168510437012,0.00690126419067383,"2025-06-09 18:42:13.276658"
"SimD_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.926547518113716, -0.315329481274348, -0.155089075879405, -0.577699481035453, 0.313469657805899], [0.048432428384009]]","SimD_rep6_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.23804783821106,0.00663208961486816,"2025-06-09 18:42:13.593147"
"SimD_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.918466800956001, -0.367651537130643, -0.278579583398185, -0.648395488174757, 0.373355445020675], [-0.0546595372398362]]","SimD_rep7_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.263875484466553,0.00730299949645996,"2025-06-09 18:42:13.888654"
"SimD_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.898174477424192, -0.283735885995298, -0.385173808022083, -0.479861751046255, 0.409349337259024], [-0.0183580832780786]]","SimD_rep8_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.586940288543701,0.0118668079376221,"2025-06-09 18:42:14.210725"
"SimD_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.783268826559263, -0.275898249414423, -0.302895693528359, -0.295161004678349, 0.231705805157273], [0.0852021142431435]]","SimD_rep9_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.235417604446411,0.00667047500610352,"2025-06-09 18:42:14.863581"
"SimD_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[0.870839161361551, -0.35288996226231, -0.30286888588944, -0.51161217788217, 0.435631646901003], [0.029175610741659]]","SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.719178676605225,0.00837302207946777,"2025-06-09 18:42:15.159677"
"SimD_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[0.784348739691151, -0.3440714075405, -0.215573852786927, -0.47849881789603, 0.33663285511625], [-0.0396016273501049]]","SimD_rep1_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.35324501991272,0.0128135681152344,"2025-06-09 18:42:15.939903"
"SimD_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[0.781225769986898, -0.353400547225694, -0.231822364727063, -0.521458160498035, 0.389254625040849], [0.0426525171753561]]","SimD_rep2_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.379446268081665,0.00802373886108398,"2025-06-09 18:42:16.361432"
"SimD_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[0.844859177626923, -0.343430941430877, -0.218757476410782, -0.525884827876787, 0.387173773151896], [-0.026859090492121]]","SimD_rep3_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.682520627975464,0.00795173645019531,"2025-06-09 18:42:16.805333"
"SimD_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[0.767853057468136, -0.281677742042372, -0.265494688312327, -0.511007774638122, 0.307197002953309], [-0.0432123234761396]]","SimD_rep4_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.349313497543335,0.00784611701965332,"2025-06-09 18:42:17.552227"
"SimD_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[0.874528871375487, -0.263686118396376, -0.329561584952225, -0.510535709594729, 0.381096752046629], [-0.0560083640864046]]","SimD_rep5_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.667824983596802,0.0120944976806641,"2025-06-09 18:42:17.969944"
"SimD_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[0.800802964262918, -0.302922512222541, -0.21361438305563, -0.430977994200917, 0.31785172896983], [0.0478597014133018]]","SimD_rep6_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.387568950653076,0.00813126564025879,"2025-06-09 18:42:18.713314"
"SimD_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[0.818241422893478, -0.245109887665418, -0.247032666618213, -0.538704110498705, 0.293708468932214], [-0.0740858404572118]]","SimD_rep7_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.76160717010498,0.0081017017364502,"2025-06-09 18:42:19.166078"
"SimD_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[0.738211891141854, -0.207251090922976, -0.269645737760404, -0.502097041591041, 0.380050595114542], [-0.0867591366806405]]","SimD_rep8_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.359691619873047,0.0079195499420166,"2025-06-09 18:42:19.990234"
"SimD_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[0.757045583636406, -0.283202986072099, -0.176278193159368, -0.479828485320226, 0.282099880701132], [0.0227905479702414]]","SimD_rep9_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.64665150642395,0.00794744491577148,"2025-06-09 18:42:20.413434"
"SimD_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",10000,"[[0.814116278721759, -0.305328055926797, -0.29667593579441, -0.500874330686101, 0.390543879268752], [-0.0210433942288827]]","SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000",0.814680099487305,0.00910520553588867,"2025-06-09 18:42:21.122216"
"SimD_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",10000,"[[0.800534492059926, -0.281977751316086, -0.24532771063583, -0.513608585779818, 0.323642079106348], [-0.0467419887384395]]","SimD_rep1_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000",0.530579090118408,0.00938701629638672,"2025-06-09 18:42:22.001522"
"SimD_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",10000,"[[0.787981355241036, -0.306139499739641, -0.248516551854981, -0.484976339407191, 0.34750017607416], [0.0144045864169867]]","SimD_rep2_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000",0.852788925170898,0.00939226150512695,"2025-06-09 18:42:22.59838"
"SimD_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",10000,"[[0.820082065076454, -0.31176654160152, -0.210017717531908, -0.510176252272677, 0.372524883130424], [-0.035671891026981]]","SimD_rep3_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000",0.541566371917725,0.00939083099365234,"2025-06-09 18:42:23.516566"
"SimD_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",10000,"[[0.778883226674441, -0.294813884554889, -0.299993351922593, -0.502227679355678, 0.374554998206712], [-0.0143951096559103]]","SimD_rep4_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000",0.503817796707153,0.015247106552124,"2025-06-09 18:42:24.469834"
"SimD_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",10000,"[[0.838133566174942, -0.317478742641759, -0.29157284685976, -0.450523930259431, 0.374104721063982], [-0.0320892291866956]]","SimD_rep5_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000",0.888435125350952,0.0096440315246582,"2025-06-09 18:42:25.059923"
"SimD_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",10000,"[[0.79986947612449, -0.297336837366215, -0.227765879843395, -0.456577842793761, 0.351791352229294], [0.0274990259123606]]","SimD_rep6_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000",0.527132749557495,0.00943255424499512,"2025-06-09 18:42:26.023211"
"SimD_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",10000,"[[0.820565576056266, -0.278020373774412, -0.221069032369841, -0.523719775048672, 0.353182881446397], [-0.0287928758101775]]","SimD_rep7_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000",0.858303546905518,0.00948715209960938,"2025-06-09 18:42:26.625223"
"SimD_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",10000,"[[0.79782527309529, -0.274843227497967, -0.269200330674023, -0.462865476685882, 0.358423239317276], [-0.0318166478043592]]","SimD_rep8_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000",0.53477954864502,0.0147466659545898,"2025-06-09 18:42:27.560121"
"SimD_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",10000,"[[0.792431459457171, -0.286695305371007, -0.244041078311884, -0.48337728768695, 0.359812768920203], [-0.00289080103344808]]","SimD_rep9_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000",0.891086339950562,0.0155482292175293,"2025-06-09 18:42:28.174973"
"SimD_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",50000,"[[0.833812560483621, -0.293564312638215, -0.287890204956252, -0.493821681232729, 0.377207281753062], [0.000954922591116779]]","SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_50000",2.40034818649292,0.0178947448730469,"2025-06-09 18:42:29.155349"
"SimD_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",50000,"[[0.810940405021618, -0.296626963830084, -0.26918147715164, -0.497562228241581, 0.380204846129207], [-0.0259783810282451]]","SimD_rep1_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_50000",2.08877778053284,0.018122673034668,"2025-06-09 18:42:31.641463"
"SimD_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",50000,"[[0.797089171020433, -0.304942726556156, -0.260076243862285, -0.497843194070956, 0.363715168069561], [-0.000482716978735667]]","SimD_rep2_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_50000",2.16703391075134,0.0260522365570068,"2025-06-09 18:42:33.824046"
