set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,center_X,true_beta,pred_beta,pred_intercept,true_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,"[[0.844865448703272, -0.439095473340095, 0.0558724108476714, -0.841000900468499, 0.542503355245422], [0.19600300187653]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100,0.681197166442871,0.00715732574462891,2025-06-09 18:42:02.060462,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.844865448703272, -0.439095473340095, 0.0558724108476714, -0.841000900468499, 0.542503355245422]",0.19600300187653003,0.0,0.3268970488630751,0.22731690130862328,0.35494190628225375,0.19583361388128792
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,500,"[[0.815637245572044, -0.413055855534495, -0.159624549070448, -0.548111386292072, 0.334601289187458], [0.0584346286352505]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500,0.522085666656494,0.00639963150024414,2025-06-09 18:42:07.289497,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.815637245572044, -0.413055855534495, -0.159624549070448, -0.548111386292072, 0.334601289187458]",0.0584346286352505,0.0,0.1580600531190893,0.27730965024437315,0.16624270732577054,0.23166047617426755
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,1000,"[[0.888910824185324, -0.389657838128275, -0.352811807095953, -0.576427718926728, 0.370263213881446], [0.00176512146242551]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000,0.259464502334595,0.0109322071075439,2025-06-09 18:42:11.119018,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.888910824185324, -0.389657838128275, -0.352811807095953, -0.576427718926728, 0.370263213881446]",0.0017651214624255101,0.0,0.10741252582602853,0.2225327401847518,0.10742193226407959,0.18544446942958934
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,5000,"[[0.870839161361551, -0.35288996226231, -0.30286888588944, -0.51161217788217, 0.435631646901003], [0.029175610741659]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000,0.7191786766052249,0.00837302207946777,2025-06-09 18:42:15.159677,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.870839161361551, -0.35288996226231, -0.30286888588944, -0.51161217788217, 0.435631646901003]",0.029175610741659003,0.0,0.05919708274724319,0.23707465209664305,0.06403300565850492,0.19770407945756066
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,10000,"[[0.814116278721759, -0.305328055926797, -0.29667593579441, -0.500874330686101, 0.390543879268752], [-0.0210433942288827]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000,0.814680099487305,0.00910520553588867,2025-06-09 18:42:21.122216,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.814116278721759, -0.305328055926797, -0.29667593579441, -0.500874330686101, 0.390543879268752]",-0.0210433942288827,0.0,0.05326844554694916,0.27134945398956556,0.056498653756436784,0.22619834906475
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,50000,"[[0.833812560483621, -0.293564312638215, -0.287890204956252, -0.493821681232729, 0.377207281753062], [0.000954922591116779]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_50000,2.40034818649292,0.0178947448730469,2025-06-09 18:42:29.155349,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.833812560483621, -0.293564312638215, -0.287890204956252, -0.493821681232729, 0.377207281753062]",0.0009549225911167789,0.0,0.06656788758667669,0.2715348591070477,0.06657335667895235,0.22627920123539894
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,100,"[[1.41457392365898, -1.20336135033705, 0.304279439089032, -1.54055749150824, 0.99180308260177], [0.632434802415512]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_100,0.33765149116516097,0.00836086273193359,2025-06-09 18:42:52.703192,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.41457392365898, -1.20336135033705, 0.304279439089032, -1.54055749150824, 0.99180308260177]",0.6324348024155121,0.0,0.4517097099579392,0.2643181212696556,0.5059747393118178,0.2869273976091043
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,500,"[[1.53455049063551, -0.902997074968511, -0.415552248089378, -0.838511891625466, 0.731764824412696], [0.461340733088496]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_500,0.342028379440308,0.00855422019958496,2025-06-09 18:42:57.515084,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.53455049063551, -0.902997074968511, -0.415552248089378, -0.838511891625466, 0.731764824412696]",0.46134073308849605,0.0,0.18098489945018112,0.03567955053428375,0.2780769473169239,0.06520550411300828
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,1000,"[[1.61709921098762, -0.741943385635307, -0.568756891862861, -1.08641021391775, 0.857025305634195], [0.282741365550804]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_1000,0.368811845779419,0.00889420509338379,2025-06-09 18:43:02.346972,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.61709921098762, -0.741943385635307, -0.568756891862861, -1.08641021391775, 0.857025305634195]",0.2827413655508039,0.0,0.05629402141728983,0.0037798497698858903,0.13342851248584045,0.01647365477382713
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,5000,"[[1.60418523475277, -0.594179255950376, -0.574513223608488, -1.02320447359187, 0.80813676371972], [0.14952029565682]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_5000,0.535801649093628,0.00978493690490723,2025-06-09 18:43:07.309713,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.60418523475277, -0.594179255950376, -0.574513223608488, -1.02320447359187, 0.80813676371972]",0.14952029565682,0.0,0.0340766880380455,0.0017238683125795809,0.0752091515441212,0.00516261006270013
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,10000,"[[1.56862761410955, -0.535038311181236, -0.651266119261248, -0.973580420477072, 0.856847404502463], [0.121165768333941]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_10000,0.909247159957886,0.0100481510162354,2025-06-09 18:42:10.425874,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.56862761410955, -0.535038311181236, -0.651266119261248, -0.973580420477072, 0.856847404502463]",0.12116576833394099,0.0,0.07520533427965446,0.00681872986045617,0.09310851921610332,0.008129132119705852
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,50000,"[[1.54863807714386, -0.538900860802846, -0.581042015112455, -0.92507579774604, 0.750932307699998], [0.157684346467661]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_50000,2.94651651382446,0.0305740833282471,2025-06-09 18:42:19.623776,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.54863807714386, -0.538900860802846, -0.581042015112455, -0.92507579774604, 0.750932307699998]",0.15768434646766102,0.0,0.06437279521608741,0.009762334989854104,0.0985289559384436,0.012279338011700648
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.M.IMP,100,"[[1.01603790635581, -0.558336299936459, 0.15563734353049, -0.632312939019771, 0.347350872406649], [0.255531411656344]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.M.IMP_100,0.3733229637146,0.0173788070678711,2025-06-09 18:42:49.163386,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.01603790635581, -0.558336299936459, 0.15563734353049, -0.632312939019771, 0.347350872406649]",0.255531411656344,0.0,0.39628689498518355,0.26060935519631095,0.4347944070677599,0.2280571797207731
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.M.IMP,500,"[[0.993439645854944, -0.364350158647988, -0.208908805601367, -0.764163119605813, 0.446429593152368], [0.0478272422796899]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.M.IMP_500,0.379684448242188,0.0162231922149658,2025-06-09 18:42:54.346959,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.993439645854944, -0.364350158647988, -0.208908805601367, -0.764163119605813, 0.446429593152368]",0.0478272422796899,0.0,0.12763647869879832,0.1664168266898845,0.1321320869660556,0.1390619297589171
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.M.IMP,1000,"[[0.938230301612766, -0.394496601862113, -0.293971617690428, -0.615895523716001, 0.274377952830019], [0.0263695107349017]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.M.IMP_1000,0.4211456775665279,0.00923967361450195,2025-06-09 18:42:59.555242,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.938230301612766, -0.394496601862113, -0.293971617690428, -0.615895523716001, 0.274377952830019]",0.0263695107349017,0.0,0.17245563593732688,0.22620745883878873,0.17371640464764965,0.1886221075483903
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.M.IMP,5000,"[[0.914737463908272, -0.346216814501603, -0.244329065714454, -0.627986060488446, 0.375963496046822], [0.0754218233436514]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.M.IMP_5000,0.962239503860474,0.0112190246582031,2025-06-09 18:43:05.28398,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.914737463908272, -0.346216814501603, -0.244329065714454, -0.627986060488446, 0.375963496046822]",0.0754218233436514,0.0,0.09494028534278219,0.218437270185247,0.11251186057994632,0.18297913372711935
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.M.IMP,10000,"[[0.924620159950193, -0.285583022941184, -0.246750348863678, -0.60970810096458, 0.3775855386429], [0.0288899444302027]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.M.IMP_10000,1.0682597160339398,0.0185022354125977,2025-06-09 18:43:13.107548,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.924620159950193, -0.285583022941184, -0.246750348863678, -0.60970810096458, 0.3775855386429]",0.0288899444302027,0.0,0.09863769013226507,0.22555662806813498,0.10138796505973457,0.18810296153830916
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.M.IMP,50000,"[[0.890260675222577, -0.281708632778719, -0.2384164933645, -0.580244888206599, 0.3614295843405], [0.0319371175969793]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.M.IMP_50000,3.0118887424469,0.0311288833618164,2025-06-09 18:43:23.116271,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[0.890260675222577, -0.281708632778719, -0.2384164933645, -0.580244888206599, 0.3614295843405]",0.0319371175969793,0.0,0.09658899169569767,0.24570810296011314,0.10028662308496923,0.20492674904682817
SimD_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.M.IMP,100,"[[1.42668779616686, -0.649614634333153, 0.0798175138728459, -1.0763941558545, 1.01844942012845], [0.473385005790159]]",SimD_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.M.IMP_100,0.43806552886962896,0.009836196899414059,2025-06-09 18:43:53.68317,SimD,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],"[1.42668779616686, -0.649614634333153, 0.0798175138728459, -1.0763941558545, 1.01844942012845]",0.473385005790159,0.0,0.2929841164308563,0.08671724529927344,0.36207634707526265,0.10961326503388602
