corr,pattern
0.2068005237951902,"(0, 0, 0, 0, 0)"
-0.6444899525122083,"(0, 0, 0, 0, 1)"
-0.9092783323810134,"(0, 0, 0, 1, 0)"
0.16524040895806547,"(0, 0, 0, 1, 1)"
-0.033198922376646456,"(0, 0, 1, 0, 0)"
0.3962272508977578,"(0, 0, 1, 0, 1)"
0.3800013322202185,"(0, 0, 1, 1, 0)"
-0.49505902489316367,"(0, 0, 1, 1, 1)"
-0.09283097183073652,"(0, 1, 0, 0, 0)"
-0.2983473222873252,"(0, 1, 0, 0, 1)"
0.17631408867803566,"(0, 1, 0, 1, 0)"
0.7033454595633197,"(0, 1, 0, 1, 1)"
0.6565478603908745,"(0, 1, 1, 0, 0)"
0.9954795888172601,"(0, 1, 1, 0, 1)"
0.839449821316842,"(0, 1, 1, 1, 0)"
0.034151359205722764,"(0, 1, 1, 1, 1)"
0.2578628805572627,"(1, 0, 0, 0, 0)"
0.6425189287851074,"(1, 0, 0, 0, 1)"
-0.5701929829667689,"(1, 0, 0, 1, 0)"
0.010637471853823133,"(1, 0, 0, 1, 1)"
-0.18625571882950465,"(1, 0, 1, 0, 0)"
0.6536010436510777,"(1, 0, 1, 0, 1)"
-0.9710340679088905,"(1, 0, 1, 1, 0)"
-0.5630340011021053,"(1, 0, 1, 1, 1)"
0.9190808800840962,"(1, 1, 0, 0, 0)"
0.8524761191349661,"(1, 1, 0, 0, 1)"
-0.34330767099056847,"(1, 1, 0, 1, 0)"
0.6427385201167781,"(1, 1, 0, 1, 1)"
0.1279802967430399,"(1, 1, 1, 0, 0)"
-0.1776592782910016,"(1, 1, 1, 0, 1)"
0.6747186261387881,"(1, 1, 1, 1, 0)"
0.17032205124071886,"(1, 1, 1, 1, 1)"
