"exp","set_up","method","n_train","bayes_adj","metric","score","filter"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.19035147672100888","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.02227838836910745","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.2703333333333333","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.019466666666666632","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.11178858492897022","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.11178858492897022","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.1838545603446635","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.01795406449783521","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.26980000000000004","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.023333333333333428","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.10906441502155402","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.10906441502155402","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.1797907563700623","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.013506261959675248","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.26126666666666665","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.012933333333333352","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.08536935903801181","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.08536935903801181","all"
"SimE","SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.1911804906242864","all"
"SimE","SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.02597944596658819","all"
"SimE","SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.2728666666666667","all"
"SimE","SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.025000000000000022","all"
"SimE","SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.12103358879031874","all"
"SimE","SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.12103358879031874","all"
"SimE","SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.19381598140704354","all"
"SimE","SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.026390045305595577","all"
"SimE","SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.29233333333333333","all"
"SimE","SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.04420000000000002","all"
"SimE","SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.12716491118146014","all"
"SimE","SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.12716491118146014","all"
"SimE","SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.19423095703176663","all"
"SimE","SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.026503936110571363","all"
"SimE","SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.2902","all"
"SimE","SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.037666666666666626","all"
"SimE","SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.11943129146590703","all"
"SimE","SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.11943129146590703","all"
"SimE","SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.17954900519212574","all"
"SimE","SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.015053384284651333","all"
"SimE","SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.26513333333333333","all"
"SimE","SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.024733333333333385","all"
"SimE","SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.08977230190010352","all"
"SimE","SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.08977230190010352","all"
"SimE","SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.18285138552130276","all"
"SimE","SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.017058577210442405","all"
"SimE","SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.27746666666666664","all"
"SimE","SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.03166666666666662","all"
"SimE","SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.10405244746372276","all"
"SimE","SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.10405244746372276","all"
"SimE","SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.19952081321150025","all"
"SimE","SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.03581283035976096","all"
"SimE","SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.2857333333333333","all"
"SimE","SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.04586666666666661","all"
"SimE","SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.14457878490868462","all"
"SimE","SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.14457878490868462","all"
"SimE","SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.1781340934570467","all"
"SimE","SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.01491018404546926","all"
"SimE","SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.2625333333333333","all"
"SimE","SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.020999999999999908","all"
"SimE","SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.09098083966715634","all"
"SimE","SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.09098083966715634","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","brier","0.17533592079328658","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","brier","0.0072628324413851475","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","misclassification","0.26313333333333333","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","misclassification","0.012266666666666648","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","mae_bayes","0.06721298687965496","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","mae_bayes","0.06721298687965496","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","brier","0.17645325355101305","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","brier","0.010552757704184762","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","misclassification","0.2615333333333333","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","misclassification","0.015066666666666673","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","mae_bayes","0.07208518136159317","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","mae_bayes","0.07208518136159317","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","brier","0.17599064438016843","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","brier","0.009706149969781364","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","misclassification","0.2628666666666667","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","misclassification","0.014533333333333398","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","mae_bayes","0.06733086665531389","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","mae_bayes","0.06733086665531389","all"
"SimE","SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","brier","0.17600295741582714","all"
"SimE","SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","brier","0.010801912758128918","all"
"SimE","SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","misclassification","0.2634666666666666","all"
"SimE","SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","misclassification","0.015599999999999947","all"
"SimE","SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","mae_bayes","0.07480294850534065","all"
"SimE","SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","mae_bayes","0.07480294850534065","all"
"SimE","SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","brier","0.17462053152464369","all"
"SimE","SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","brier","0.0071945954231957265","all"
"SimE","SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","misclassification","0.2598666666666667","all"
"SimE","SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","misclassification","0.011733333333333373","all"
"SimE","SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","mae_bayes","0.06083161796552803","all"
"SimE","SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","mae_bayes","0.06083161796552803","all"
"SimE","SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","brier","0.17709269809701503","all"
"SimE","SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","brier","0.009365677175819764","all"
"SimE","SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","misclassification","0.26480000000000004","all"
"SimE","SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","misclassification","0.012266666666666648","all"
"SimE","SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","mae_bayes","0.06567970712141369","all"
"SimE","SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","mae_bayes","0.06567970712141369","all"
"SimE","SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","brier","0.1711754381639296","all"
"SimE","SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","brier","0.006679817256455195","all"
"SimE","SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","misclassification","0.251","all"
"SimE","SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","misclassification","0.010600000000000054","all"
"SimE","SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","mae_bayes","0.058613775675517385","all"
"SimE","SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","mae_bayes","0.058613775675517385","all"
"SimE","SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","brier","0.1736482373165881","all"
"SimE","SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","brier","0.007855429005727749","all"
"SimE","SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","misclassification","0.2573333333333333","all"
"SimE","SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","misclassification","0.011533333333333284","all"
"SimE","SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","mae_bayes","0.06604709187197795","all"
"SimE","SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","mae_bayes","0.06604709187197795","all"
"SimE","SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","brier","0.17208877847122248","all"
"SimE","SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","brier","0.008380795619483183","all"
"SimE","SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","misclassification","0.25506666666666666","all"
"SimE","SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","misclassification","0.015199999999999991","all"
"SimE","SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","mae_bayes","0.06492743331170889","all"
"SimE","SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","mae_bayes","0.06492743331170889","all"
"SimE","SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","brier","0.17104216861249208","all"
"SimE","SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","brier","0.00781825920091464","all"
"SimE","SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","misclassification","0.25373333333333337","all"
"SimE","SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","misclassification","0.012199999999999989","all"
"SimE","SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","False","mae_bayes","0.06303282786037166","all"
"SimE","SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","500","True","mae_bayes","0.06303282786037166","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","False","brier","0.17537975932535885","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","True","brier","0.007306670973457413","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","False","misclassification","0.26380000000000003","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","True","misclassification","0.012933333333333352","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","False","mae_bayes","0.06339787466031097","all"
"SimE","SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","True","mae_bayes","0.06339787466031097","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","False","brier","0.17347996377089628","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","True","brier","0.007579467924067995","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","False","misclassification","0.25673333333333337","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","True","misclassification","0.010266666666666757","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","False","mae_bayes","0.06305332472438713","all"
"SimE","SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","True","mae_bayes","0.06305332472438713","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","False","brier","0.17370544184085152","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","True","brier","0.007420947430464453","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","False","misclassification","0.2618666666666667","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","True","misclassification","0.013533333333333397","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","False","mae_bayes","0.058638844602720376","all"
"SimE","SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","True","mae_bayes","0.058638844602720376","all"
"SimE","SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","1000","False","brier","0.17402539172458129","all"
