sim,replicate,n,d,corr,prop_NA,true_beta,true_intercept,center_X,set_up
SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimE_rep0_n115000_d5_corrMIXTURE_NA25
SimE,1.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimE_rep1_n115000_d5_corrMIXTURE_NA25
SimE,2.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimE_rep2_n115000_d5_corrMIXTURE_NA25
SimE,3.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimE_rep3_n115000_d5_corrMIXTURE_NA25
SimE,4.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimE_rep4_n115000_d5_corrMIXTURE_NA25
SimE,5.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimE_rep5_n115000_d5_corrMIXTURE_NA25
SimE,6.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimE_rep6_n115000_d5_corrMIXTURE_NA25
SimE,7.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimE_rep7_n115000_d5_corrMIXTURE_NA25
SimE,8.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimE_rep8_n115000_d5_corrMIXTURE_NA25
SimE,9.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],SimE_rep9_n115000_d5_corrMIXTURE_NA25
