"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[2.66081892682848, -0.707572381254678, -0.251851924559364, -0.910202615092946, 0.531726908981276], [-0.187784591869799]]","SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.23909592628479,0.0126097202301025,"2025-06-12 09:28:59.410094"
"SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.13871197760716, -0.178184489214745, -0.112360200639213, -0.332036608296062, 0.311177744011395], [-0.0113097115464196]]","SimE_rep1_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.37443208694458,0.0355713367462158,"2025-06-12 09:28:59.930908"
"SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.84385009765954, -1.13262117157803, -0.459522347746089, -1.45418064809291, 0.917938153324152], [0.0524968926824481]]","SimE_rep2_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.628341913223267,0.00548410415649414,"2025-06-12 09:29:00.576012"
"SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[2.62527339235681, -0.0455262449780962, -1.2500392550547, -0.41762627789119, 0.627884590905705], [0.144229359939057]]","SimE_rep3_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.12973690032959,0.00504946708679199,"2025-06-12 09:29:01.383592"
"SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.792418972653716, -0.421883924100355, -0.0431125287989036, -1.37936821750444, 0.991777601507254], [0.0653134266271177]]","SimE_rep4_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.648878812789917,0.0108582973480225,"2025-06-12 09:29:01.710042"
"SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.71696040393419, -0.822727545428915, -0.428400642094665, -0.331583739626921, -0.51305129315638], [-0.222684157217352]]","SimE_rep5_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.129298448562622,0.00485682487487793,"2025-06-12 09:29:02.55836"
"SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.99834552506616, -0.781921089486603, -0.813677771193967, -0.508695757797873, 0.814270514044183], [-0.135692081684475]]","SimE_rep6_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.175349712371826,0.0053403377532959,"2025-06-12 09:29:02.877803"
"SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.842965394064257, -0.926646853460521, -0.791383802894261, -0.331045745423185, 0.57831032924774], [-0.19609829658917]]","SimE_rep7_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.160294771194458,0.00513219833374023,"2025-06-12 09:29:03.305636"
"SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[2.47583073969219, -0.866961516073632, 0.345588888774725, -0.791204895321531, 0.596836247448352], [0.255268792432995]]","SimE_rep8_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.125747203826904,0.00476574897766113,"2025-06-12 09:29:03.712528"
"SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.59580494327797, -0.375288046558396, -0.443947955173759, -0.149542046144535, 0.329998966596696], [0.0880631975595629]]","SimE_rep9_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.135163068771362,0.00503993034362793,"2025-06-12 09:29:03.892589"
