"exp","set_up","method","n_train","bayes_adj","metric","score","filter"
"SimF","SimF_rep0_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","brier","0.4175087188361829","all"
"SimF","SimF_rep0_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","brier","0.3184067114183516","all"
"SimF","SimF_rep0_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","misclassification","0.47473333333333334","all"
"SimF","SimF_rep0_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","misclassification","0.33399999999999996","all"
"SimF","SimF_rep0_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","mae_bayes","0.47439581601788533","all"
"SimF","SimF_rep0_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","mae_bayes","0.47439581601788533","all"
"SimF","SimF_rep1_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","brier","0.3824539032961945","all"
"SimF","SimF_rep1_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","brier","0.2811463184952999","all"
"SimF","SimF_rep1_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","misclassification","0.43479999999999996","all"
"SimF","SimF_rep1_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","misclassification","0.28726666666666667","all"
"SimF","SimF_rep1_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","mae_bayes","0.4349921067860474","all"
"SimF","SimF_rep1_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","mae_bayes","0.4349921067860474","all"
"SimF","SimF_rep2_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","brier","0.3811683551699451","all"
"SimF","SimF_rep2_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","brier","0.2816874561919903","all"
"SimF","SimF_rep2_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","misclassification","0.3613333333333333","all"
"SimF","SimF_rep2_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","misclassification","0.22293333333333332","all"
"SimF","SimF_rep2_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","mae_bayes","0.40909244686268126","all"
"SimF","SimF_rep2_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","mae_bayes","0.40909244686268126","all"
"SimF","SimF_rep3_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","brier","0.3851825645432649","all"
"SimF","SimF_rep3_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","brier","0.2837002592673445","all"
"SimF","SimF_rep3_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","misclassification","0.3674666666666667","all"
"SimF","SimF_rep3_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","misclassification","0.22373333333333334","all"
"SimF","SimF_rep3_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","mae_bayes","0.41487497545859625","all"
"SimF","SimF_rep3_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","mae_bayes","0.41487497545859625","all"
"SimF","SimF_rep4_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","brier","0.4064337504154143","all"
"SimF","SimF_rep4_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","brier","0.3057252529680674","all"
"SimF","SimF_rep4_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","misclassification","0.41013333333333335","all"
"SimF","SimF_rep4_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","misclassification","0.2678666666666667","all"
"SimF","SimF_rep4_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","mae_bayes","0.41038706705169486","all"
"SimF","SimF_rep4_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","mae_bayes","0.41038706705169486","all"
"SimF","SimF_rep5_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","brier","0.38785581419510856","all"
"SimF","SimF_rep5_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","brier","0.28798439290139344","all"
"SimF","SimF_rep5_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","misclassification","0.392","all"
"SimF","SimF_rep5_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","misclassification","0.24893333333333334","all"
"SimF","SimF_rep5_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","mae_bayes","0.38817407940344967","all"
"SimF","SimF_rep5_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","mae_bayes","0.38817407940344967","all"
"SimF","SimF_rep6_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","brier","0.3479120914839082","all"
"SimF","SimF_rep6_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","brier","0.24667086865929377","all"
"SimF","SimF_rep6_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","misclassification","0.3446","all"
"SimF","SimF_rep6_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","misclassification","0.20200000000000007","all"
