set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,center_X,true_beta,pred_beta,pred_intercept,true_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimF2_rep0_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep0_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0737638473510742,0.567036628723145,2025-06-18 17:28:30.884345,SimF2,0.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[-1.06249314 -0.97971269  0.40813205  0.92675003  1.96362569 -2.49523212
 -1.0864822   1.08514067  0.30780262  0.4825422   1.52691122 -0.34395061
 -1.33802268  0.26525724 -0.84184335  0.15244387 -0.32880055 -1.09624336
  1.52091795  0.5938969  -0.74970382  1.11059155 -0.60031395  3.06429461
 -1.4443276 ]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep1_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep1_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.107732534408569,0.695472240447998,2025-06-18 17:28:32.609659,SimF2,1.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[ 0.06908596 -0.22584903 -1.21394405 -0.66949046 -1.99541692 -1.12249958
  0.39879842 -0.02512722  1.25599274 -0.62075025  0.97410285  0.1320919
 -1.2705996  -0.72420581  0.07691307  0.61462019  0.0265583  -0.70207609
  0.06898308 -0.45445779  0.46142891 -1.12585498  1.7953686  -0.41481015
 -0.02851596]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep2_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep2_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0568704605102539,0.57014012336731,2025-06-18 17:28:34.551864,SimF2,2.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[ 1.53430611e+00 -1.18866887e+00  9.71230136e-02 -9.80102954e-01
 -3.57767251e-01 -1.78612917e-01  1.76300280e+00  9.91506188e-01
 -1.31314032e-01 -2.46599724e+00  7.49185344e-01 -2.92244313e-01
 -1.57808158e-01 -3.85198896e-01 -6.64925724e-02  3.13952196e-02
 -1.86828594e+00 -8.05168969e-04  2.06017377e+00 -5.04665004e-01
  3.92380822e-01 -1.84220632e-01 -7.61873497e-01 -5.67683121e-01
  5.46763519e-01]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep3_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep3_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0576679706573486,0.562705039978027,2025-06-18 17:28:35.97689,SimF2,3.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[-0.76544537  0.97742897 -1.64175665 -1.39908551 -0.55733231  0.20697248
  0.31587218 -0.80368647 -1.66473832 -0.90544522  0.15798544  0.018541
  0.5121458   0.85814614 -0.04674    -0.77259524  0.52763973 -0.18201233
  3.05878219 -0.80502465 -0.1272227   0.94230552 -0.35359074  0.54101459
 -0.90942631]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep4_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep4_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.077120304107666,0.859193563461304,2025-06-18 17:28:37.079781,SimF2,4.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[-1.19846815 -1.48344341  0.25211194 -0.86971865  0.41739178 -0.59280843
 -1.36835033  0.93113863  2.58180312  0.23279194 -1.80736019  0.6701202
 -1.96845418 -1.22142358  1.18467418 -0.70316163  1.10799613  0.29643843
  0.45910314 -0.18428382  1.58575708 -0.16741473 -0.06444005  1.07365672
  1.22180291]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep5_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep5_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0686054229736328,0.64008092880249,2025-06-18 17:28:38.228319,SimF2,5.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[ 1.48918243 -0.38664848 -0.56404766  0.04413984 -0.28008806 -0.33364501
 -0.40836882 -0.14990333  0.28411057  2.47613963 -1.14032228  1.98011069
 -0.15600691  1.18072621  1.03724754  0.50160417  1.06241035 -0.22876527
 -0.05383804 -0.83771585  0.32503705 -0.44601973 -1.61065948 -0.08380764
  0.31557933]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep6_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep6_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0575337409973145,0.594677448272705,2025-06-18 17:28:39.146146,SimF2,6.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[ 0.07593701  0.74009724 -0.28859491 -1.5140512  -0.37483742  0.16444891
  0.39352104  0.82105424  1.5758036  -0.90797699  0.85573589  1.22684566
  0.3918529   0.37074619  1.0727918  -1.63504202  0.20323798  0.7049321
 -0.3876068  -0.68764535 -0.12366804 -0.11305477  0.15130868  2.51968272
 -0.33904457]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep7_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep7_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0747406482696533,0.607943534851074,2025-06-18 17:28:40.541591,SimF2,7.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[ 2.28234114  0.4985819  -0.44696684  0.72841032  0.17345833  0.983384
 -0.27835893 -0.39245408 -1.43929644  0.53020576  0.32607323  1.10050572
 -0.09602681  0.28845673  1.63374899  1.57828915 -0.58883601  0.15455383
 -1.37689976  0.1553115   0.5905617  -0.24287315  1.08396484  0.26967822
  1.1852885 ]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep8_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep8_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0541939735412598,0.943118095397949,2025-06-18 17:28:41.48092,SimF2,8.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[ 0.38460937 -0.35729697  0.75741895  0.37091296 -0.63194238 -1.04450061
 -0.16692597 -0.46660471  0.09034118  0.5947347  -0.61849242 -1.67352915
  0.66439398  0.01298796  0.78253205  2.26313245 -1.16690261 -0.89265504
 -1.08131006 -1.33592999 -0.67094173  1.69471688  0.73161352  0.73950384
  0.61126466]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep9_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep9_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0878453254699707,0.640457391738892,2025-06-18 17:28:43.114717,SimF2,9.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[-0.24917388  0.14931267 -2.78929263 -0.93976074 -0.57605433  1.93812532
  1.03252796  1.16138019  0.90832474  1.50989683  0.44418105 -0.59442594
  0.20554523  0.14295274 -0.64983348 -0.53509039 -1.59291203 -0.96675221
  0.42810267  1.18965378 -0.42094985  1.51306904 -1.1857576  -0.49030659
  0.37425392]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
