"exp","set_up","method","n_train","bayes_adj","metric","score","filter"
"SimF4","SimF4_rep0_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","brier","0.3132782210905435","all"
"SimF4","SimF4_rep0_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","brier","0.22608155258504198","all"
"SimF4","SimF4_rep0_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","misclassification","0.4529333333333333","all"
"SimF4","SimF4_rep0_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","misclassification","0.3296","all"
"SimF4","SimF4_rep0_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","mae_bayes","0.4015156161542839","all"
"SimF4","SimF4_rep0_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","mae_bayes","0.4015156161542839","all"
"SimF4","SimF4_rep1_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","brier","0.35026150313027743","all"
"SimF4","SimF4_rep1_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","brier","0.2624231926500491","all"
"SimF4","SimF4_rep1_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","misclassification","0.45433333333333337","all"
"SimF4","SimF4_rep1_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","misclassification","0.3286","all"
"SimF4","SimF4_rep1_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","mae_bayes","0.4165051903353162","all"
"SimF4","SimF4_rep1_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","mae_bayes","0.4165051903353162","all"
"SimF4","SimF4_rep2_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","brier","0.30365693332414745","all"
"SimF4","SimF4_rep2_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","brier","0.2162412348647668","all"
"SimF4","SimF4_rep2_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","misclassification","0.5259333333333334","all"
"SimF4","SimF4_rep2_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","misclassification","0.40313333333333334","all"
"SimF4","SimF4_rep2_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","mae_bayes","0.4026117769515336","all"
"SimF4","SimF4_rep2_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","mae_bayes","0.4026117769515336","all"
"SimF4","SimF4_rep3_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","brier","0.3560145209918599","all"
"SimF4","SimF4_rep3_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","brier","0.27125337720073006","all"
"SimF4","SimF4_rep3_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","misclassification","0.4726666666666667","all"
"SimF4","SimF4_rep3_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","True","misclassification","0.35240000000000005","all"
"SimF4","SimF4_rep3_n115000_d25_corrMIXTURE_NA25","PbP.Fixed","100","False","mae_bayes","0.4312714724011976","all"
