var,pattern
0.6704675101784022,"(0, 0, 0, 0, 0)"
0.8946066635038473,"(0, 0, 0, 0, 1)"
0.31551563100606295,"(0, 0, 0, 1, 0)"
0.2936141483736795,"(0, 0, 0, 1, 1)"
0.053362545117080384,"(0, 0, 1, 0, 0)"
0.41417926952690265,"(0, 0, 1, 0, 1)"
0.5865550405019929,"(0, 0, 1, 1, 0)"
0.7259979853504515,"(0, 0, 1, 1, 1)"
0.8958862181960668,"(0, 1, 0, 0, 0)"
0.2370269802430277,"(0, 1, 0, 0, 1)"
0.35726976000249977,"(0, 1, 0, 1, 0)"
0.7554630526024664,"(0, 1, 0, 1, 1)"
0.026210986877719278,"(0, 1, 1, 0, 0)"
0.9695957483196745,"(0, 1, 1, 0, 1)"
0.38786064406417176,"(0, 1, 1, 1, 0)"
0.012555980159115854,"(0, 1, 1, 1, 1)"
0.5813589272732578,"(1, 0, 0, 0, 0)"
0.5688514370864813,"(1, 0, 0, 0, 1)"
0.2649195576628094,"(1, 0, 0, 1, 0)"
0.6394608808799401,"(1, 0, 0, 1, 1)"
0.7721780295432468,"(1, 0, 1, 0, 0)"
0.48599066709690975,"(1, 0, 1, 0, 1)"
0.12632951943963733,"(1, 0, 1, 1, 0)"
0.9401074823333672,"(1, 0, 1, 1, 1)"
0.28571885173414757,"(1, 1, 0, 0, 0)"
0.8928887085251513,"(1, 1, 0, 0, 1)"
0.4201936800011322,"(1, 1, 0, 1, 0)"
0.6280761983073504,"(1, 1, 0, 1, 1)"
0.698057248447303,"(1, 1, 1, 0, 0)"
0.3173839459582769,"(1, 1, 1, 0, 1)"
0.7976388039585666,"(1, 1, 1, 1, 0)"
0.7331425252875111,"(1, 1, 1, 1, 1)"
