"exp","set_up","method","n_train","bayes_adj","metric","score","filter"
"SimG","SimG_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.18120252208116686","all"
"SimG","SimG_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.04861674275030595","all"
"SimG","SimG_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.2762","all"
"SimG","SimG_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.07733333333333337","all"
"SimG","SimG_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.16892764991880932","all"
"SimG","SimG_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.16892764991880932","all"
"SimG","SimG_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.19835904116565325","all"
"SimG","SimG_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.06752915752630434","all"
"SimG","SimG_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.2874","all"
"SimG","SimG_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.09540000000000004","all"
"SimG","SimG_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.18453006793208945","all"
"SimG","SimG_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.18453006793208945","all"
"SimG","SimG_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.1782287483193378","all"
"SimG","SimG_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.0455180698708878","all"
"SimG","SimG_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.2733333333333333","all"
"SimG","SimG_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.07373333333333332","all"
"SimG","SimG_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.16991401324952535","all"
"SimG","SimG_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.16991401324952535","all"
"SimG","SimG_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.17703181027812384","all"
"SimG","SimG_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.045399002906980956","all"
"SimG","SimG_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.26780000000000004","all"
"SimG","SimG_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.07520000000000004","all"
"SimG","SimG_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.14334108296178222","all"
"SimG","SimG_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.14334108296178222","all"
"SimG","SimG_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.17874600435713403","all"
"SimG","SimG_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.04630726097081467","all"
"SimG","SimG_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.2776666666666666","all"
"SimG","SimG_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.08106666666666662","all"
"SimG","SimG_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.1682741298522709","all"
"SimG","SimG_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","mae_bayes","0.1682741298522709","all"
"SimG","SimG_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","brier","0.17163237647750904","all"
"SimG","SimG_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","brier","0.04066958423512035","all"
"SimG","SimG_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","misclassification","0.2628666666666667","all"
"SimG","SimG_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","True","misclassification","0.06879999999999997","all"
"SimG","SimG_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP","100","False","mae_bayes","0.1498484881890518","all"
