sim,replicate,n,d,corr,prop_NA,center_X,set_up,true_beta
SimG,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],SimG_rep0_n115000_d5_corrMIXTURE_NA25,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763]
SimG,1.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],SimG_rep1_n115000_d5_corrMIXTURE_NA25,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763]
SimG,2.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],SimG_rep2_n115000_d5_corrMIXTURE_NA25,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763]
SimG,3.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],SimG_rep3_n115000_d5_corrMIXTURE_NA25,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763]
SimG,4.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],SimG_rep4_n115000_d5_corrMIXTURE_NA25,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763]
SimG,5.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],SimG_rep5_n115000_d5_corrMIXTURE_NA25,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763]
SimG,6.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],SimG_rep6_n115000_d5_corrMIXTURE_NA25,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763]
SimG,7.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],SimG_rep7_n115000_d5_corrMIXTURE_NA25,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763]
SimG,8.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],SimG_rep8_n115000_d5_corrMIXTURE_NA25,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763]
SimG,9.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],SimG_rep9_n115000_d5_corrMIXTURE_NA25,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763]
