"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimG_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.32304335624397, 0.174513431134857, -0.732086222418357, -0.936197858485154, 0.36196539839377], [0.492809773841119]]","SimG_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",1.06721186637878,0.00780248641967773,"2025-06-16 23:28:04.116865"
"SimG_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.77871664275336, 0.201004281665892, -0.76163302459953, -2.73478863266623, -0.480425807198692], [0.518061437693158]]","SimG_rep1_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.616902351379395,0.0325541496276855,"2025-06-16 23:28:05.391879"
"SimG_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.767011387018804, -0.441190463359557, -0.433725149465503, -0.383657970403407, 0.154503920670915], [0.109331759151561]]","SimG_rep2_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.245859861373901,0.00673341751098633,"2025-06-16 23:28:06.227848"
"SimG_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.31557573857336, -0.669943001490955, -0.740480303490271, -0.132947258440314, 0.810020953298583], [0.0767368660863686]]","SimG_rep3_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.669470071792603,0.00868964195251465,"2025-06-16 23:28:06.639555"
"SimG_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.857777814701967, -0.204904730273969, -0.141796137827279, -0.806355623082479, -0.0506190080208579], [0.250839820513556]]","SimG_rep4_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.200830936431885,0.00610733032226562,"2025-06-16 23:28:07.475551"
"SimG_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[0.389530559214683, -0.563353156486615, -0.321143565649507, -0.160006822336121, 0.924376616250589], [-0.486582804327735]]","SimG_rep5_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.212295770645142,0.00606822967529297,"2025-06-16 23:28:07.842148"
"SimG_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.18839674671587, -0.166592223510831, -0.429427130214704, -0.794700295284252, 0.176945264713082], [-0.0920204271080217]]","SimG_rep6_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.208297252655029,0.0109560489654541,"2025-06-16 23:28:08.216385"
"SimG_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.04671760350242, -0.491952167480483, -0.0922923189562074, -0.607094150615742, 0.190512528243636], [-0.601678917730163]]","SimG_rep7_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.236628293991089,0.0231742858886719,"2025-06-16 23:28:08.590485"
"SimG_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.29268393181471, -0.0646618239032246, -0.966268907825773, -0.46499000373992, 1.27713213717259], [0.435780675546909]]","SimG_rep8_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.563917636871338,0.00647926330566406,"2025-06-16 23:28:09.009025"
"SimG_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",100,"[[1.17305734587526, -0.669793423689688, -0.223415930885496, -0.762078206605079, -0.339335773260912], [-0.462135165135539]]","SimG_rep9_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100",0.213925123214722,0.00707912445068359,"2025-06-16 23:28:09.63285"
