corr,pattern
-0.5910955005369651,"(0, 0, 0, 0)"
0.6014891373510733,"(0, 0, 0, 1)"
0.9157790603010039,"(0, 0, 1, 0)"
-0.9634234453116164,"(0, 0, 1, 1)"
0.8171910061861911,"(0, 1, 0, 0)"
-0.01685368143932342,"(0, 1, 0, 1)"
-0.7953311423443483,"(0, 1, 1, 0)"
0.32758929043957763,"(0, 1, 1, 1)"
-0.20464632602893285,"(1, 0, 0, 0)"
0.7666121824116197,"(1, 0, 0, 1)"
-0.14381762025741018,"(1, 0, 1, 0)"
-0.18372639447743766,"(1, 0, 1, 1)"
0.771884198621549,"(1, 1, 0, 0)"
0.8651909260743271,"(1, 1, 0, 1)"
-0.9602397323204088,"(1, 1, 1, 0)"
-0.7516533697601777,"(1, 1, 1, 1)"
