var,pattern
0.8781174363909454,"(0, 0, 0, 0)"
0.9682615757193975,"(0, 0, 0, 1)"
0.5331652849730171,"(0, 0, 1, 0)"
0.7501443149449675,"(0, 0, 1, 1)"
0.2936141483736795,"(0, 1, 0, 0)"
0.053362545117080384,"(0, 1, 0, 1)"
0.4140559878195683,"(0, 1, 1, 0)"
0.5148891120583086,"(0, 1, 1, 1)"
0.16535419711693278,"(1, 0, 0, 0)"
0.6236722070556089,"(1, 0, 0, 1)"
0.9648400471483856,"(1, 0, 1, 0)"
0.2370269802430277,"(1, 0, 1, 1)"
0.35726976000249977,"(1, 1, 0, 0)"
0.6968181614899002,"(1, 1, 0, 1)"
0.026210986877719278,"(1, 1, 1, 0)"
0.2791836790111395,"(1, 1, 1, 1)"
