exp,set_up,method,n_train,bayes_adj,metric,score,filter
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,100,False,brier,0.2402337705217493,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,100,True,brier,0.10992944507017882,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,100,False,misclassification,0.3254666666666667,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,100,True,misclassification,0.13646666666666674,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,100,False,mae_bayes,0.23949422632586745,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,100,True,mae_bayes,0.23949422632586745,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,500,False,brier,0.15285334592492902,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,500,True,brier,0.02254902047335855,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,500,False,misclassification,0.20679999999999998,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,500,True,misclassification,0.017800000000000038,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,500,False,mae_bayes,0.10256754761960553,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,500,True,mae_bayes,0.10256754761960553,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,1000,False,brier,0.13875414879600326,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,1000,True,brier,0.008449823344432783,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,1000,False,misclassification,0.1970666666666666,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,1000,True,misclassification,0.008066666666666666,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,1000,False,mae_bayes,0.0641274550554768,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,1000,True,mae_bayes,0.0641274550554768,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,5000,False,brier,0.1314960634064943,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,5000,True,brier,0.0011917379549238327,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,5000,False,misclassification,0.1899333333333333,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,5000,True,misclassification,0.0009333333333333416,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,5000,False,mae_bayes,0.024239329854609346,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,5000,True,mae_bayes,0.024239329854609346,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,10000,False,brier,0.13099838871864403,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,10000,True,brier,0.0006940632670735525,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,10000,False,misclassification,0.19053333333333333,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,10000,True,misclassification,0.0015333333333333865,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,10000,False,mae_bayes,0.015570774876144817,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,10000,True,mae_bayes,0.015570774876144817,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,50000,False,brier,0.13042234388617727,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,50000,True,brier,0.00011801843460679251,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,50000,False,misclassification,0.18946666666666667,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,50000,True,misclassification,0.0004666666666667263,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,50000,False,mae_bayes,0.00792087870391692,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,PbP.Fixed,50000,True,mae_bayes,0.00792087870391692,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,100,False,brier,0.14937469885468527,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,100,True,brier,0.019070373403114793,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,100,False,misclassification,0.21940000000000004,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,100,True,misclassification,0.030400000000000094,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,100,False,mae_bayes,0.08632236158618775,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,100,True,mae_bayes,0.08632236158618775,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,500,False,brier,0.14238694486963485,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,500,True,brier,0.012082619418064378,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,500,False,misclassification,0.20866666666666667,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,500,True,misclassification,0.01966666666666672,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,500,False,mae_bayes,0.06806103287190135,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,500,True,mae_bayes,0.06806103287190135,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,1000,False,brier,0.14247768617260367,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,1000,True,brier,0.0121733607210332,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,1000,False,misclassification,0.20953333333333335,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,1000,True,misclassification,0.020533333333333403,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,1000,False,mae_bayes,0.06699635232384357,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,1000,True,mae_bayes,0.06699635232384357,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,5000,False,brier,0.1411791370609392,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,5000,True,brier,0.010874811609368734,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,5000,False,misclassification,0.20753333333333335,all
SimG2,SimG2_rep0_n265000_d4_corrMIXTURE_NA25,Mean.IMP,5000,True,misclassification,0.0185333333333334,all
