"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimG3_rep0_n265000_d4_corrMIXTURE_NA25","PbP.Fixed",100,NA,"SimG3_rep0_n265000_d4_corrMIXTURE_NA25_PbP.Fixed_100",0.0770959854125977,3.1104850769043,"2025-06-20 14:59:32.719631"
"SimG3_rep0_n265000_d4_corrMIXTURE_NA25","PbP.Fixed",100,NA,"SimG3_rep0_n265000_d4_corrMIXTURE_NA25_PbP.Fixed_100",0.287953853607178,2.82017803192139,"2025-06-20 14:59:38.038195"
"SimG3_rep0_n265000_d4_corrMIXTURE_NA25","PbP.Fixed",500,NA,"SimG3_rep0_n265000_d4_corrMIXTURE_NA25_PbP.Fixed_500",0.124933958053589,1.83793306350708,"2025-06-20 14:59:41.725073"
"SimG3_rep0_n265000_d4_corrMIXTURE_NA25","PbP.Fixed",500,NA,"SimG3_rep0_n265000_d4_corrMIXTURE_NA25_PbP.Fixed_500",0.120828866958618,1.48555707931519,"2025-06-20 14:59:43.859021"
"SimG3_rep0_n265000_d4_corrMIXTURE_NA25","PbP.Fixed",1000,NA,"SimG3_rep0_n265000_d4_corrMIXTURE_NA25_PbP.Fixed_1000",1.08252596855164,0.889084100723267,"2025-06-20 14:59:45.668609"
"SimG3_rep0_n265000_d4_corrMIXTURE_NA25","PbP.Fixed",1000,NA,"SimG3_rep0_n265000_d4_corrMIXTURE_NA25_PbP.Fixed_1000",0.203303098678589,1.45635414123535,"2025-06-20 14:59:39.55815"
"SimG3_rep0_n265000_d4_corrMIXTURE_NA25","PbP.Fixed",5000,NA,"SimG3_rep0_n265000_d4_corrMIXTURE_NA25_PbP.Fixed_5000",1.24417090415955,1.62623715400696,"2025-06-20 14:59:42.926945"
"SimG3_rep0_n265000_d4_corrMIXTURE_NA25","PbP.Fixed",5000,NA,"SimG3_rep0_n265000_d4_corrMIXTURE_NA25_PbP.Fixed_5000",1.08184504508972,0.905970096588135,"2025-06-20 14:59:46.092648"
"SimG3_rep0_n265000_d4_corrMIXTURE_NA25","PbP.Fixed",10000,NA,"SimG3_rep0_n265000_d4_corrMIXTURE_NA25_PbP.Fixed_10000",1.97315907478333,0.88339900970459,"2025-06-20 14:59:48.324963"
"SimG3_rep0_n265000_d4_corrMIXTURE_NA25","PbP.Fixed",10000,NA,"SimG3_rep0_n265000_d4_corrMIXTURE_NA25_PbP.Fixed_10000",1.26901698112488,0.835623025894165,"2025-06-20 14:59:50.15161"
