set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,true_beta,true_intercept,center_X,pred_beta,pred_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,"[[2.66081892682848, -0.707572381254678, -0.251851924559364, -0.910202615092946, 0.531726908981276], [-0.187784591869799]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100,0.23909592628479,0.0126097202301025,2025-06-12 09:28:59.410094,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[2.66081892682848, -0.707572381254678, -0.251851924559364, -0.910202615092946, 0.531726908981276]",-0.18778459186979898,0.3537123876047504,0.25952927938923026,0.3591104865653245,0.22215157498164306
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,500,"[[1.45665628525629, -0.693965217370449, -0.445958601314246, -0.463597651490769, 0.295004277641712], [-0.0814795446640297]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500,0.162957429885864,0.005362510681152339,2025-06-12 09:29:04.218737,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.45665628525629, -0.693965217370449, -0.445958601314246, -0.463597651490769, 0.295004277641712]",-0.0814795446640297,0.34435579423391455,0.1476659754515901,0.3473203306796871,0.12416146557610135
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,1000,"[[1.57222392383323, -0.575744650388584, -0.246670382716376, -0.721242079060074, 0.429538450297943], [0.00248981980744196]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000,0.15862727165222198,0.005578041076660161,2025-06-12 09:29:07.418519,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.57222392383323, -0.575744650388584, -0.246670382716376, -0.721242079060074, 0.429538450297943]",0.00248981980744196,0.23928900387591986,0.07939000242733127,0.23929256381137806,0.06615936855655498
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,5000,"[[1.54277648714567, -0.455052996976859, -0.470201579757346, -0.553866510391714, 0.367811765420442], [0.0164461481794697]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000,0.227334499359131,0.0058643817901611285,2025-06-12 09:29:10.622039,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.54277648714567, -0.455052996976859, -0.470201579757346, -0.553866510391714, 0.367811765420442]",0.0164461481794697,0.2823620454215011,0.110327725191248,0.2825054168518555,0.09198485029103017
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,10000,"[[1.49554294608431, -0.543120445882039, -0.45665168756447, -0.618614705431563, 0.420907158381254], [-0.014578099791433]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000,0.7837905883789059,0.007428407669067379,2025-06-12 09:29:14.604817,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.49554294608431, -0.543120445882039, -0.45665168756447, -0.618614705431563, 0.420907158381254]",-0.014578099791433001,0.22947179666636305,0.08608684513692859,0.22960960031071556,0.07177445777969532
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,50000,"[[1.50100539129589, -0.536071707617831, -0.422173805744551, -0.719435866199384, 0.502998487194619], [0.00271541414699925]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_50000,1.95264554023743,0.0121076107025146,2025-06-12 09:29:20.83611,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.50100539129589, -0.536071707617831, -0.422173805744551, -0.719435866199384, 0.502998487194619]",0.00271541414699925,0.16802751252956008,0.0577004562079535,0.16803374142285787,0.04808494241895953
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,100,"[[3.20575609466484, -0.782222806936535, -0.68157737133071, -1.18725853923226, 1.26489896105425], [0.0442451723244769]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_100,0.216880321502686,0.00591874122619629,2025-06-12 09:29:07.9115,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[3.20575609466484, -0.782222806936535, -0.68157737133071, -1.18725853923226, 1.26489896105425]",0.0442451723244769,0.22677700349850946,0.5452214996158375,0.22707212761187456,0.45467752222553504
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,500,"[[1.5895177999331, -0.768797663697032, -0.673616771033252, -0.70005601464346, 0.693574386272272], [-0.0341781676700787]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_500,0.20553898811340304,0.0061488151550293,2025-06-12 09:29:11.77267,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.5895177999331, -0.768797663697032, -0.673616771033252, -0.70005601464346, 0.693574386272272]",-0.0341781676700787,0.20016908898299896,0.04312392866602149,0.20080173394338524,0.036131298412565245
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,1000,"[[1.64244244480222, -0.639429715260694, -0.28380923892818, -1.10211801571798, 0.739432762428822], [-0.0314037330678425]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_1000,0.25374817848205605,0.007944107055664059,2025-06-12 09:29:15.308089,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.64244244480222, -0.639429715260694, -0.28380923892818, -1.10211801571798, 0.739432762428822]",-0.0314037330678425,0.12139368244906908,0.015505141530002976,0.12220766367007999,0.01308531701676853
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,5000,"[[1.62393342904188, -0.483419162679521, -0.522598722748931, -0.939904812663347, 0.708868976956063], [-0.0177127514547425]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_5000,0.944056749343872,0.0115571022033691,2025-06-12 09:29:18.847433,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.62393342904188, -0.483419162679521, -0.522598722748931, -0.939904812663347, 0.708868976956063]",-0.0177127514547425,0.08635870829070083,0.011742400817877838,0.08675777491605739,0.00983762427558111
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,10000,"[[1.62031140078592, -0.583646041678922, -0.541768005767751, -1.03246282642397, 0.851159383532517], [-0.0280033070500465]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_10000,1.01712822914124,0.00817489624023438,2025-06-12 09:29:24.191647,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.62031140078592, -0.583646041678922, -0.541768005767751, -1.03246282642397, 0.851159383532517]",-0.0280033070500465,0.019019428503422184,0.0005670111291223451,0.0227373606361438,0.0006032068085584848
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,50000,"[[1.61854834029457, -0.579229668821817, -0.51514994440877, -1.05080934176479, 0.841796394728531], [-0.00381658279563966]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_50000,2.11481714248657,0.0158805847167969,2025-06-12 09:29:31.919218,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.61854834029457, -0.579229668821817, -0.51514994440877, -1.05080934176479, 0.841796394728531]",-0.0038165827956396603,0.014543608269818003,0.0004619371585887108,0.014642754435533143,0.00038737534952992104
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.M.IMP,100,"[[2.59094199842707, -0.664192871742937, -0.386187278091109, -1.11562952607989, 0.930426350068094], [-0.155673416120594]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.M.IMP_100,0.20804214477539104,0.00674128532409668,2025-06-12 09:29:14.075189,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[2.59094199842707, -0.664192871742937, -0.386187278091109, -1.11562952607989, 0.930426350068094]",-0.155673416120594,0.22092216508379234,0.19265312421374542,0.22657145303721068,0.1645833055925638
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.M.IMP,500,"[[1.46444792002132, -0.680884791084169, -0.384778480262445, -0.427808390272549, 0.152238056422044], [-0.087265667502444]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.M.IMP_500,0.21765971183776894,0.0154125690460205,2025-06-12 09:29:17.321692,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.46444792002132, -0.680884791084169, -0.384778480262445, -0.427808390272549, 0.152238056422044]",-0.087265667502444,0.4147666514321971,0.19515002337768433,0.4176705392329753,0.1638942356021781
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.M.IMP,1000,"[[1.53826399278306, -0.639410454660932, -0.265487948670752, -0.682574511635119, 0.36692310778825], [-0.0120979343028404]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.M.IMP_1000,0.243346452713013,0.007646322250366209,2025-06-12 09:29:20.851594,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.53826399278306, -0.639410454660932, -0.265487948670752, -0.682574511635119, 0.36692310778825]",-0.0120979343028404,0.26702771783825796,0.09561438123590349,0.26710533038722284,0.07970304436565222
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.M.IMP,5000,"[[1.52827713162457, -0.453635081358556, -0.481962925755326, -0.595806134795874, 0.418542510504919], [-0.00174988573848088]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.M.IMP_5000,0.356376886367798,0.008749008178710941,2025-06-12 09:29:25.100301,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.52827713162457, -0.453635081358556, -0.481962925755326, -0.595806134795874, 0.418542510504919]",-0.00174988573848088,0.24694827951039572,0.09274783736402706,0.24695011775326087,0.07729037482003882
SimE_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.M.IMP,10000,"[[1.50695729380687, -0.539883632330243, -0.421698108757041, -0.684393425578415, 0.46878527449701], [-0.011406142877475]]",SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.M.IMP_10000,0.466846466064453,0.0158147811889648,2025-06-12 09:29:30.113169,SimE,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.50695729380687, -0.539883632330243, -0.421698108757041, -0.684393425578415, 0.46878527449701]",-0.011406142877475,0.1927522248327069,0.0677164530277152,0.1928494130078928,0.05645206087231957
