set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,true_beta,true_intercept,center_X,pred_beta,pred_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP,100,"[[1.16435902847388, -0.730253531834708, -0.719636830796173, -0.590894248956904, 1.14849338556353], [0.322844651656211]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP_100,0.6460309028625489,0.012800931930542,2025-06-09 11:03:31.70347,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.16435902847388, -0.730253531834708, -0.719636830796173, -0.590894248956904, 1.14849338556353]",0.32284465165621096,0.3336361286384523,0.11496422289156467,0.36813145050983986,0.11317496392680726
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP,500,"[[0.975552871080388, -0.349293290814266, -0.444749820756348, -0.353766863821044, 0.404879486932388], [0.128912030480772]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP_500,0.6758263111114499,0.0142984390258789,2025-06-09 11:03:37.148677,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.975552871080388, -0.349293290814266, -0.444749820756348, -0.353766863821044, 0.404879486932388]",0.128912030480772,0.24250384143873197,0.24522302750762798,0.26300879908399827,0.20712224152346922
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP,1000,"[[0.861174263364764, -0.123604865559582, -0.506364340276502, -0.519742284589917, 0.471709007285661], [0.0612006636125106]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP_1000,0.244279384613037,0.0118844509124756,2025-06-09 11:03:41.928251,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.861174263364764, -0.123604865559582, -0.506364340276502, -0.519742284589917, 0.471709007285661]",0.0612006636125106,0.2521232221137241,0.2564511199832559,0.25689747664552565,0.21433352019048188
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP,5000,"[[0.925780507404594, -0.256587085308019, -0.422916634329831, -0.575783014665164, 0.414746213199907], [0.0430790973273176]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP_5000,0.34303379058837896,0.007658004760742191,2025-06-09 11:03:37.119136,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.925780507404594, -0.256587085308019, -0.422916634329831, -0.575783014665164, 0.414746213199907]",0.0430790973273176,0.13461504398380714,0.2151011961205948,0.13881419358037203,0.1795602982049184
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP,10000,"[[0.888117128454575, -0.236326208900409, -0.391598287590171, -0.585338302571066, 0.438662658832461], [0.0100735793696708]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP_10000,0.773660182952881,0.00873947143554688,2025-06-09 11:03:42.388087,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.888117128454575, -0.236326208900409, -0.391598287590171, -0.585338302571066, 0.438662658832461]",0.0100735793696708,0.1176860325834354,0.22430535046988376,0.1179656248128069,0.18693803822512264
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.IMP,50000,"[[0.957679353737549, -0.246686337336774, -0.423421077366019, -0.62680177404221, 0.450373618729768], [0.0139352331923975]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP_50000,1.79296565055847,0.0216150283813477,2025-06-09 11:03:38.659342,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.957679353737549, -0.246686337336774, -0.423421077366019, -0.62680177404221, 0.450373618729768]",0.0139352331923975,0.12729600796869014,0.19200210204410242,0.12772800141807478,0.16003411682410643
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.IMP,100,"[[1.86039023151663, -1.11582725095252, -1.29597057556389, -0.516752821692797, 1.04765814790012], [0.536255883508873]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.IMP_100,0.307288408279419,0.0150229930877686,2025-06-09 11:03:59.168635,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.86039023151663, -1.11582725095252, -1.29597057556389, -0.516752821692797, 1.04765814790012]",0.536255883508873,0.39696110323448675,0.24838217923331057,0.4380220365197574,0.25491354479407247
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.IMP,500,"[[1.48373881404005, -0.529393801382326, -0.584873246026839, -0.685090532004025, 0.769421993439699], [0.147687386400496]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.IMP_500,0.3621103763580321,0.0152926445007324,2025-06-09 11:04:03.260011,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.48373881404005, -0.529393801382326, -0.584873246026839, -0.685090532004025, 0.769421993439699]",0.147687386400496,0.14547545362973371,0.037886302658015354,0.16345246823913595,0.03520717956531436
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.IMP,1000,"[[1.60230305878429, -0.64572268198842, -0.670116801636606, -0.588691480324246, 0.733384991843999], [0.05691867067196]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.IMP_1000,0.350281953811646,0.0081024169921875,2025-06-09 11:03:43.079391,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.60230305878429, -0.64572268198842, -0.670116801636606, -0.588691480324246, 0.733384991843999]",0.056918670671960006,0.222524853174025,0.054748458671598846,0.22417590359429376,0.04616367140484288
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.IMP,5000,"[[1.41615456218596, -0.505775415769137, -0.492290518088478, -0.97894987790038, 0.80438549753634], [0.0384666445352954]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.IMP_5000,0.8114290237426759,0.0144076347351074,2025-06-09 11:03:48.568743,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.41615456218596, -0.505775415769137, -0.492290518088478, -0.97894987790038, 0.80438549753634]",0.0384666445352954,0.03347061743509208,0.01368521335050089,0.03847293011571066,0.011650958249051538
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.IMP,10000,"[[1.60407118083516, -0.607975865143137, -0.543081498800686, -1.02245976147611, 0.879022989443917], [0.0219532994570338]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.IMP_10000,1.33968186378479,0.0110316276550293,2025-06-09 11:03:44.979375,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.60407118083516, -0.607975865143137, -0.543081498800686, -1.02245976147611, 0.879022989443917]",0.0219532994570338,0.021998573815168263,0.000676831654339147,0.02406746611057424,0.0006443509381243226
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.IMP,50000,"[[1.61355903376139, -0.585952956315403, -0.523469903344865, -1.0687392018904, 0.854698146159153], [0.0227968568676269]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.IMP_50000,3.19542384147644,0.0225346088409424,2025-06-09 11:03:56.632152,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.61355903376139, -0.585952956315403, -0.523469903344865, -1.0687392018904, 0.854698146159153]",0.0227968568676269,0.009535083471694576,0.0001873702878860894,0.013890147446629772,0.00024275802041225246
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.M.IMP,100,"[[1.77203220633485, -1.1213305379042, -1.46611293774364, -0.560802424274413, 1.21801465549441], [0.537372091831409]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.M.IMP_100,1.2371921539306598,0.0102081298828125,2025-06-09 11:03:44.317307,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.77203220633485, -1.1213305379042, -1.46611293774364, -0.560802424274413, 1.21801465549441]",0.537372091831409,0.42580490863221854,0.3095713589095291,0.4615862897666147,0.30610425993781826
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.M.IMP,500,"[[0.838054018960102, -0.201894914767804, -0.367324810425794, -0.54445942255862, 0.484250028247315], [0.117460103800627]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.M.IMP_500,0.7276988029479979,0.00903415679931641,2025-06-09 11:03:50.800247,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.838054018960102, -0.201894914767804, -0.367324810425794, -0.54445942255862, 0.484250028247315]",0.11746010380062699,0.12932233739483706,0.24734306907853415,0.16247689910590468,0.2084187035629208
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.M.IMP,1000,"[[1.00301041373931, -0.328994185856166, -0.423520592757947, -0.555161389726715, 0.492355951707593], [0.0772324491147273]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.M.IMP_1000,0.407727241516113,0.009580373764038093,2025-06-09 11:03:56.940017,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.00301041373931, -0.328994185856166, -0.423520592757947, -0.555161389726715, 0.492355951707593]",0.0772324491147273,0.10919604726866873,0.17685106759194308,0.12303766529145063,0.14837003152599573
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.M.IMP,5000,"[[0.900614384895041, -0.215752287039575, -0.419420869963288, -0.60030177071419, 0.432598868923639], [0.0415105565698759]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.M.IMP_5000,0.919424295425415,0.0111353397369385,2025-06-09 11:03:51.520615,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.900614384895041, -0.215752287039575, -0.419420869963288, -0.60030177071419, 0.432598868923639]",0.0415105565698759,0.14530717795170367,0.2206339835430037,0.14898172572388743,0.18414884067029322
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.M.IMP,10000,"[[0.9541502886054, -0.286693171421505, -0.37947060453876, -0.618756226130985, 0.466365640916895], [0.0112137938253112]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.M.IMP_10000,1.02368426322937,0.0119061470031738,2025-06-09 11:03:59.605652,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.9541502886054, -0.286693171421505, -0.37947060453876, -0.618756226130985, 0.466365640916895]",0.0112137938253112,0.08091961004220889,0.1884965962507719,0.08136472369983645,0.15710145507096931
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.M.IMP,50000,"[[0.955100619506402, -0.265606161622273, -0.399789176432008, -0.646646876220011, 0.463168910652292], [0.0103258893597155]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.M.IMP_50000,3.55622792243958,0.0231912136077881,2025-06-09 11:03:52.68531,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.955100619506402, -0.265606161622273, -0.399789176432008, -0.646646876220011, 0.463168910652292]",0.0103258893597155,0.10347757547930736,0.18554736377766817,0.10376633524691192,0.154640573813235
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.M.IMP,100,"[[1.84185302467319, -0.913047083290581, -1.0383921162306, -0.771741284529887, 0.846655633154458], [0.691810272410014]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.M.IMP_100,0.738205432891846,0.00956106185913086,2025-06-09 11:04:23.49876,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.84185302467319, -0.913047083290581, -1.0383921162306, -0.771741284529887, 0.846655633154458]",0.691810272410014,0.26304667598469267,0.09790000422801665,0.36961243677067696,0.1613502456920168
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.M.IMP,500,"[[1.67758470891019, -0.615786121276736, -0.709981949177111, -0.683840171322417, 0.653557149333433], [0.174012747166907]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.M.IMP_500,0.439331531524658,0.0157430171966553,2025-06-09 11:04:29.467712,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.67758470891019, -0.615786121276736, -0.709981949177111, -0.683840171322417, 0.653557149333433]",0.17401274716690696,0.20964243086957257,0.04644143821981066,0.22454020928901144,0.0437479378792712
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.M.IMP,1000,"[[1.45823662344378, -0.563428152874884, -0.550596458808272, -0.722793530111404, 0.725889418970534], [0.0742157703841798]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.M.IMP_1000,0.48264741897583,0.010117769241333,2025-06-09 11:03:59.127408,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.45823662344378, -0.563428152874884, -0.550596458808272, -0.722793530111404, 0.725889418970534]",0.0742157703841798,0.11969253691894491,0.03450370502990792,0.1255739335127833,0.02967108428720949
SimA_rep0_n115000_d5_corr65_NA25,MICE.1.Y.M.IMP,5000,"[[1.47429198379993, -0.537665666532565, -0.503550759727986, -1.0458315941227, 0.904409723225864], [0.0200555251211338]]",SimA_rep0_n115000_d5_corr65_NA25_MICE.1.Y.M.IMP_5000,1.06152272224426,0.0112359523773193,2025-06-09 11:04:06.964487,SimA,0.0,115000.0,5.0,65.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.47429198379993, -0.537665666532565, -0.503550759727986, -1.0458315941227, 0.904409723225864]",0.0200555251211338,0.054693405849432296,0.006173845717607167,0.055481435698881205,0.005211908779320044
