corr,pattern
-0.9452248136041477,"(0, 0, 0, 0, 0)"
0.7527783045920766,"(0, 0, 0, 0, 1)"
0.3837542279009467,"(0, 0, 0, 1, 0)"
0.8171910061861911,"(0, 0, 0, 1, 1)"
-0.01685368143932342,"(0, 0, 1, 0, 0)"
0.3888003154554902,"(0, 0, 1, 0, 1)"
0.8891895119816267,"(0, 0, 1, 1, 0)"
0.5016242062723111,"(0, 0, 1, 1, 1)"
-0.46014421646994785,"(0, 1, 0, 0, 0)"
-0.18372639447743766,"(0, 1, 0, 0, 1)"
0.771884198621549,"(0, 1, 0, 1, 0)"
-0.867999654555875,"(0, 1, 0, 1, 1)"
-0.9602397323204088,"(0, 1, 1, 0, 0)"
0.17151854291657576,"(0, 1, 1, 0, 1)"
0.6142103912375583,"(0, 1, 1, 1, 0)"
0.11943396410828488,"(0, 1, 1, 1, 1)"
-0.6091410377813624,"(1, 0, 0, 0, 0)"
0.2126589233066607,"(1, 0, 0, 0, 1)"
0.3384657869063692,"(1, 0, 0, 1, 0)"
-0.6131314347533445,"(1, 0, 0, 1, 1)"
0.47013192657733893,"(1, 0, 1, 0, 0)"
-0.21998457171750752,"(1, 0, 1, 0, 1)"
-0.6520886666390713,"(1, 0, 1, 1, 0)"
-0.3105266946334131,"(1, 0, 1, 1, 1)"
0.5972071823040788,"(1, 1, 0, 0, 0)"
-0.3695103938092541,"(1, 1, 0, 0, 1)"
-0.8921814558524941,"(1, 1, 0, 1, 0)"
0.14942300941620457,"(1, 1, 0, 1, 1)"
0.5101643769353603,"(1, 1, 1, 0, 0)"
-0.1970408330609188,"(1, 1, 1, 0, 1)"
-0.31330752045115395,"(1, 1, 1, 1, 0)"
0.14497703438321263,"(1, 1, 1, 1, 1)"
