"exp","set_up","method","n_train","bayes_adj","metric","score","filter"
"SimNLMNAR","SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","brier","0.23542071355735553","all"
"SimNLMNAR","SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","brier","0.11390325718270643","all"
"SimNLMNAR","SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","misclassification","0.34586666666666666","all"
"SimNLMNAR","SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","misclassification","0.1767333333333333","all"
"SimNLMNAR","SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","mae_bayes","0.26535914015020956","all"
"SimNLMNAR","SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","mae_bayes","0.26535914015020956","all"
"SimNLMNAR","SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","brier","0.19824740217665804","all"
"SimNLMNAR","SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","brier","0.07806792715542757","all"
"SimNLMNAR","SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","misclassification","0.2723333333333333","all"
"SimNLMNAR","SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","misclassification","0.1044666666666666","all"
"SimNLMNAR","SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","mae_bayes","0.22967117372748633","all"
"SimNLMNAR","SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","mae_bayes","0.22967117372748633","all"
"SimNLMNAR","SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","brier","0.19521741339961585","all"
"SimNLMNAR","SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","brier","0.07612934052633259","all"
"SimNLMNAR","SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","misclassification","0.25773333333333337","all"
"SimNLMNAR","SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","misclassification","0.09253333333333336","all"
"SimNLMNAR","SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","mae_bayes","0.21735702493498937","all"
"SimNLMNAR","SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","mae_bayes","0.21735702493498937","all"
"SimNLMNAR","SimNLMNAR_rep3_n115000_d5_corr95_NA25","MICE.1.IMP","100","False","brier","0.204303354120791","all"
"SimNLMNAR","SimNLMNAR_rep3_n115000_d5_corr95_NA25","MICE.1.IMP","100","True","brier","0.08093423892277804","all"
