sim,replicate,n,d,corr,prop_NA,true_beta,center_X,set_up
SimNLMNAR,0.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimNLMNAR_rep0_n115000_d5_corr95_NA25
SimNLMNAR,1.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimNLMNAR_rep1_n115000_d5_corr95_NA25
SimNLMNAR,2.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimNLMNAR_rep2_n115000_d5_corr95_NA25
SimNLMNAR,3.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimNLMNAR_rep3_n115000_d5_corr95_NA25
SimNLMNAR,4.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimNLMNAR_rep4_n115000_d5_corr95_NA25
SimNLMNAR,5.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimNLMNAR_rep5_n115000_d5_corr95_NA25
SimNLMNAR,6.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimNLMNAR_rep6_n115000_d5_corr95_NA25
SimNLMNAR,7.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimNLMNAR_rep7_n115000_d5_corr95_NA25
SimNLMNAR,8.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimNLMNAR_rep8_n115000_d5_corr95_NA25
SimNLMNAR,9.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],SimNLMNAR_rep9_n115000_d5_corr95_NA25
