"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[-2.25162672942366, 1.58690410704575, -0.12083513788163, 0.0163321283507646, 0.335869536376469], [0.272541325379505]]","SimNLMNAR_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.546361446380615,0.0035712718963623,"2025-11-28 01:01:57.21372"
"SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[0.841282323495478, 0.0113763393041813, -0.705762379056034, -0.260525607044288, 0.277898619891795], [0.129530077969003]]","SimNLMNAR_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.515508413314819,0.0131363868713379,"2025-11-28 01:01:57.830395"
"SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[-0.225937415413984, -0.525389592157273, 0.00501107113967587, -0.0300574345690861, 0.397308912186794], [0.0180788402983436]]","SimNLMNAR_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.119092226028442,0.00297021865844727,"2025-11-28 01:01:58.407834"
"SimNLMNAR_rep3_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[-0.341943695745433, 1.37412042844903, -0.529738170715509, -0.504102466677061, 0.380826439121334], [-0.0260415595336757]]","SimNLMNAR_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.11675238609314,0.00295495986938477,"2025-11-28 01:01:58.572124"
"SimNLMNAR_rep4_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[-2.33174266623797, 2.47289435949921, -0.442852581669758, -0.309129632837819, 0.485392460638674], [-0.0128085604554125]]","SimNLMNAR_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.120836973190308,0.00295257568359375,"2025-11-28 01:01:58.735049"
"SimNLMNAR_rep5_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[0.850838409637319, -0.159078384448575, -0.178675789066397, -0.312234080202553, 0.332179435465191], [0.578737464246624]]","SimNLMNAR_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.122545957565308,0.00666189193725586,"2025-11-28 01:01:58.901948"
"SimNLMNAR_rep6_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[2.03533107799513, -0.753471220433513, -0.781339334111264, -0.224346500232281, 0.404114299129458], [0.145582659220586]]","SimNLMNAR_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.126270771026611,0.00309157371520996,"2025-11-28 01:01:59.073097"
"SimNLMNAR_rep7_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[1.15752998582356, -1.75890932333231, 0.80816921447067, -0.53596617241099, 0.313046910556499], [0.797765284477622]]","SimNLMNAR_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.486900806427002,0.00299620628356934,"2025-11-28 01:01:59.244933"
"SimNLMNAR_rep8_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[1.0605371281737, -0.029999756434809, -0.0305091522316816, -0.589175481654399, 0.243534378004934], [0.49307177538237]]","SimNLMNAR_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.116524934768677,0.00295186042785645,"2025-11-28 01:01:59.777548"
"SimNLMNAR_rep9_n115000_d5_corr95_NA25","MICE.1.IMP",100,"[[0.897050680093977, -0.785143145101624, 0.661206076609552, -0.520411820252548, 0.190064804507447], [0.499756925622909]]","SimNLMNAR_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_100",0.117576122283936,0.00337457656860352,"2025-11-28 01:01:59.939797"
"SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[-0.172599654512989, 0.734487468256009, -0.54985828714471, -0.254685127744993, 0.291645003603225], [0.185355091731402]]","SimNLMNAR_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.137935161590576,0.00309538841247559,"2025-11-28 01:02:00.107686"
"SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.49481761090115, 0.113925407448605, -0.275359341483632, -0.45339963064192, 0.328837893405835], [0.293781712873607]]","SimNLMNAR_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.533435344696045,0.00657439231872559,"2025-11-28 01:02:00.278062"
"SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.477062893619866, -0.465164411022267, -0.244944055764028, -0.302646143844852, 0.391080620830415], [0.35130257141992]]","SimNLMNAR_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.120549440383911,0.00662422180175781,"2025-11-28 01:02:00.850259"
"SimNLMNAR_rep3_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.576066613059537, 0.391413607525165, -0.655374552778198, -0.428306943034765, 0.298854509991471], [0.274289758637506]]","SimNLMNAR_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.129184484481812,0.00301027297973633,"2025-11-28 01:02:01.008639"
"SimNLMNAR_rep4_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.148185559154185, 1.00532850740034, -0.551227870697082, -0.463717044488643, 0.259011096263266], [0.247404563312037]]","SimNLMNAR_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.129911184310913,0.00300025939941406,"2025-11-28 01:02:01.169463"
"SimNLMNAR_rep5_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.324671485709497, 0.127350310914879, -0.223201450648166, -0.262451426686805, 0.314091852472309], [0.341078338273424]]","SimNLMNAR_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.1353759765625,0.00307941436767578,"2025-11-28 01:02:01.330297"
"SimNLMNAR_rep6_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.647891158943821, 0.13669415774424, -0.709149515209244, -0.307317875966947, 0.32327075661849], [0.07586334617539]]","SimNLMNAR_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.507154703140259,0.00313043594360352,"2025-11-28 01:02:01.497654"
"SimNLMNAR_rep7_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.581497491083577, 0.0721221581096334, -0.628970431549836, -0.241579954563787, 0.283962330948189], [0.156519520536482]]","SimNLMNAR_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.124836683273315,0.00310564041137695,"2025-11-28 01:02:02.035912"
"SimNLMNAR_rep8_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.225062136888689, 0.122325300748914, -0.678472105181875, -0.135051426767831, 0.347526382744759], [0.31549148275312]]","SimNLMNAR_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.128643035888672,0.00303745269775391,"2025-11-28 01:02:02.192097"
"SimNLMNAR_rep9_n115000_d5_corr95_NA25","MICE.1.IMP",500,"[[0.0858947958844228, 0.0436964762983378, -0.309037952764717, -0.198207759924808, 0.320558159171897], [0.263009515288241]]","SimNLMNAR_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_500",0.1304612159729,0.00311875343322754,"2025-11-28 01:02:02.352937"
"SimNLMNAR_rep0_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.600830025094063, -0.168754961701834, -0.407453052112429, -0.24739818707515, 0.31187627536826], [0.235060356246822]]","SimNLMNAR_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.535457611083984,0.00304627418518066,"2025-11-28 01:02:02.516024"
"SimNLMNAR_rep1_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.163444072199598, 0.522499494152061, -0.443345853593684, -0.336504062641103, 0.321735062823539], [0.274899786815089]]","SimNLMNAR_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.131196022033691,0.00304317474365234,"2025-11-28 01:02:03.083122"
"SimNLMNAR_rep2_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.589200072382315, -0.115767115921281, -0.451036657109878, -0.248669845510742, 0.332996103782718], [0.329950114055934]]","SimNLMNAR_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.13244891166687,0.00646400451660156,"2025-11-28 01:02:03.245343"
"SimNLMNAR_rep3_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.564055438589054, 0.0929764137359277, -0.47516580438455, -0.366214237126965, 0.306549467783982], [0.21441940368271]]","SimNLMNAR_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.615825653076172,0.0039222240447998,"2025-11-28 01:02:02.792099"
"SimNLMNAR_rep4_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.278673874905616, 0.182498888585801, -0.45851444029057, -0.287788082569945, 0.309178390380385], [0.135399591454635]]","SimNLMNAR_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.559837579727173,0.0134060382843018,"2025-11-28 01:02:03.455577"
"SimNLMNAR_rep5_n115000_d5_corr95_NA25","MICE.1.IMP",1000,"[[0.102073715585675, 0.080513116757606, -0.325626362403166, -0.197452988251927, 0.343499172320249], [0.387242563304738]]","SimNLMNAR_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_1000",0.133219242095947,0.00679636001586914,"2025-11-28 01:02:04.06914"
