set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,true_beta,center_X,pred_beta,pred_intercept,true_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimNLMNAR_rep0_n115000_d5_corr95_NA25,MICE.1.IMP,100,"[[-2.25162672942366, 1.58690410704575, -0.12083513788163, 0.0163321283507646, 0.335869536376469], [0.272541325379505]]",SimNLMNAR_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_100,0.546361446380615,0.0035712718963623,2025-11-28 01:01:57.21372,SimNLMNAR,0.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[-2.25162672942366, 1.58690410704575, -0.12083513788163, 0.0163321283507646, 0.335869536376469]",0.272541325379505,0.0,2.3158391109283936,4.29803550714703,2.3114400020463126,3.5940760516291275
SimNLMNAR_rep1_n115000_d5_corr95_NA25,MICE.1.IMP,100,"[[0.841282323495478, 0.0113763393041813, -0.705762379056034, -0.260525607044288, 0.277898619891795], [0.129530077969003]]",SimNLMNAR_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_100,0.515508413314819,0.0131363868713379,2025-11-28 01:01:57.830395,SimNLMNAR,1.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.841282323495478, 0.0113763393041813, -0.705762379056034, -0.260525607044288, 0.277898619891795]",0.129530077969003,0.0,0.5540090743557265,0.4076502120364931,0.5638748045051536,0.34250485021352023
SimNLMNAR_rep2_n115000_d5_corr95_NA25,MICE.1.IMP,100,"[[-0.225937415413984, -0.525389592157273, 0.00501107113967587, -0.0300574345690861, 0.397308912186794], [0.0180788402983436]]",SimNLMNAR_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_100,0.119092226028442,0.0029702186584472,2025-11-28 01:01:58.407834,SimNLMNAR,2.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[-0.225937415413984, -0.525389592157273, 0.00501107113967587, -0.0300574345690861, 0.397308912186794]",0.0180788402983436,0.0,1.362881551365405,1.0044139294583398,1.3629524732998606,0.8370660819597053
SimNLMNAR_rep3_n115000_d5_corr95_NA25,MICE.1.IMP,100,"[[-0.341943695745433, 1.37412042844903, -0.529738170715509, -0.504102466677061, 0.380826439121334], [-0.0260415595336757]]",SimNLMNAR_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_100,0.11675238609314,0.0029549598693847,2025-11-28 01:01:58.572124,SimNLMNAR,3.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[-0.341943695745433, 1.37412042844903, -0.529738170715509, -0.504102466677061, 0.380826439121334]",-0.0260415595336757,0.0,1.6366820010278744,1.6736859105712525,1.6366736697227984,1.3948512859465347
SimNLMNAR_rep4_n115000_d5_corr95_NA25,MICE.1.IMP,100,"[[-2.33174266623797, 2.47289435949921, -0.442852581669758, -0.309129632837819, 0.485392460638674], [-0.0128085604554125]]",SimNLMNAR_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_100,0.120836973190308,0.0029525756835937,2025-11-28 01:01:58.735049,SimNLMNAR,4.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[-2.33174266623797, 2.47289435949921, -0.442852581669758, -0.309129632837819, 0.485392460638674]",-0.0128085604554125,0.0,2.146987138553596,5.180168745770747,2.1469827263641474,4.316834631345778
SimNLMNAR_rep5_n115000_d5_corr95_NA25,MICE.1.IMP,100,"[[0.850838409637319, -0.159078384448575, -0.178675789066397, -0.312234080202553, 0.332179435465191], [0.578737464246624]]",SimNLMNAR_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_100,0.122545957565308,0.0066618919372558,2025-11-28 01:01:58.901948,SimNLMNAR,5.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.850838409637319, -0.159078384448575, -0.178675789066397, -0.312234080202553, 0.332179435465191]",0.578737464246624,0.0,0.24878403528682655,0.3576854342546199,0.5777578709431154,0.35389403729928537
SimNLMNAR_rep6_n115000_d5_corr95_NA25,MICE.1.IMP,100,"[[2.03533107799513, -0.753471220433513, -0.781339334111264, -0.224346500232281, 0.404114299129458], [0.145582659220586]]",SimNLMNAR_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_100,0.126270771026611,0.0030915737152099,2025-11-28 01:01:59.073097,SimNLMNAR,6.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[2.03533107799513, -0.753471220433513, -0.781339334111264, -0.224346500232281, 0.404114299129458]",0.145582659220586,0.0,0.4737115361456468,0.23720744256032184,0.47742251010198933,0.20120525391122443
SimNLMNAR_rep7_n115000_d5_corr95_NA25,MICE.1.IMP,100,"[[1.15752998582356, -1.75890932333231, 0.80816921447067, -0.53596617241099, 0.313046910556499], [0.797765284477622]]",SimNLMNAR_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_100,0.486900806427002,0.0029962062835693,2025-11-28 01:01:59.244933,SimNLMNAR,7.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[1.15752998582356, -1.75890932333231, 0.80816921447067, -0.53596617241099, 0.313046910556499]",0.797765284477622,0.0,0.8850303407847399,0.7826315133114852,0.9280832023944039,0.7582645026125144
SimNLMNAR_rep8_n115000_d5_corr95_NA25,MICE.1.IMP,100,"[[1.0605371281737, -0.029999756434809, -0.0305091522316816, -0.589175481654399, 0.243534378004934], [0.49307177538237]]",SimNLMNAR_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_100,0.116524934768677,0.0029518604278564,2025-11-28 01:01:59.777548,SimNLMNAR,8.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[1.0605371281737, -0.029999756434809, -0.0305091522316816, -0.589175481654399, 0.243534378004934]",0.49307177538237,0.0,0.3985747191482511,0.30495414594343684,0.5428912641360063,0.2946484175659844
SimNLMNAR_rep9_n115000_d5_corr95_NA25,MICE.1.IMP,100,"[[0.897050680093977, -0.785143145101624, 0.661206076609552, -0.520411820252548, 0.190064804507447], [0.499756925622909]]",SimNLMNAR_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_100,0.117576122283936,0.0033745765686035,2025-11-28 01:01:59.939797,SimNLMNAR,9.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.897050680093977, -0.785143145101624, 0.661206076609552, -0.520411820252548, 0.190064804507447]",0.499756925622909,0.0,0.8103091529713827,0.5470094149301354,0.8597053063159859,0.4974673432264565
