"Method","air","boy","col","deb","dia","glo","hou","nha","oce","ozo","ped","pop","pul","sbs","sel","sle","soy","tbc","vnf","wal"
"05.IMP","\textbf{0.67}","0.99","0.71","0.61","0.84","\textbf{0.70}","0.50","0.91","0.79","\textbf{0.77}","0.56","0.76","0.79","0.78","0.91","0.87","0.50","0.53","0.50","0.54"
"05.IMP.M","0.64","\textbf{0.99}","\textbf{0.77}","0.61","0.84","\textbf{0.70}","0.50","0.94","0.84","\textbf{0.78}","0.57","0.81","0.82","0.77","0.91","0.82","0.50","0.53","0.50","0.54"
"MICE.10.IMP","\textbf{0.67}","0.99","\textbf{0.78}","\textbf{0.68}","\textbf{0.84}","\textbf{0.70}","\textbf{0.99}","0.78","0.81","0.73","0.55","0.81","\textbf{0.86}","\textbf{0.81}","0.91","\textbf{0.94}","\textbf{0.97}","0.56","\textbf{0.80}","0.58"
"MICE.10.IMP.M","\textbf{0.66}","0.99","0.74","\textbf{0.69}","\textbf{0.84}","\textbf{0.70}","0.98","0.67","0.84","0.73","0.56","0.81","0.85","0.78","0.91","0.91","\textbf{0.97}","0.58","\textbf{0.80}","\textbf{0.60}"
"MICE.10.Y.M.IMP","\textbf{0.67}","0.99","\textbf{0.77}","\textbf{0.68}","0.84","\textbf{0.70}","\textbf{0.99}","0.50","0.81","0.73","0.55","0.81","\textbf{0.85}","\textbf{0.81}","\textbf{0.91}","\textbf{0.95}","\textbf{0.98}","0.56","0.80","0.58"
"MICE.10.Y.M.IMP.M","\textbf{0.66}","0.99","0.72","\textbf{0.69}","0.84","\textbf{0.70}","0.98","0.50","0.84","0.73","0.56","0.81","0.85","0.78","0.91","0.91","\textbf{0.97}","0.58","0.80","0.59"
"MICE.RF.10.IMP","\textbf{0.67}","0.99","\textbf{0.77}","\textbf{0.68}","\textbf{0.84}","\textbf{0.70}","\textbf{0.99}","0.86","0.81","0.72","0.55","\textbf{0.84}","\textbf{0.86}","\textbf{0.82}","0.91","\textbf{0.96}","0.96","0.55","\textbf{0.80}","\textbf{0.58}"
"MICE.RF.10.IMP.M","\textbf{0.66}","0.99","0.72","\textbf{0.69}","\textbf{0.84}","\textbf{0.70}","0.99","0.68","0.84","0.72","0.56","\textbf{0.84}","\textbf{0.85}","0.78","0.91","0.93","0.97","0.56","\textbf{0.80}","\textbf{0.60}"
"MICE.RF.10.Y.M.IMP","\textbf{0.68}","0.99","\textbf{0.77}","\textbf{0.68}","\textbf{0.84}","\textbf{0.70}","0.99","0.75","0.81","0.72","0.56","0.82","\textbf{0.86}","\textbf{0.81}","0.91","\textbf{0.95}","\textbf{0.97}","0.56","\textbf{0.80}","\textbf{0.59}"
"MICE.RF.10.Y.M.IMP.M","\textbf{0.65}","0.99","0.72","\textbf{0.69}","0.84","\textbf{0.70}","0.98","0.76","0.84","0.72","0.56","0.82","\textbf{0.85}","0.78","0.91","0.93","\textbf{0.97}","0.57","\textbf{0.80}","\textbf{0.60}"
"Mean.IMP","\textbf{0.68}","0.99","0.73","\textbf{0.68}","0.84","\textbf{0.70}","0.99","0.95","0.82","0.72","0.55","0.81","0.85","\textbf{0.80}","0.91","0.79","0.92","0.56","\textbf{0.80}","\textbf{0.60}"
"Mean.IMP.M","0.64","0.98","0.69","\textbf{0.68}","0.84","\textbf{0.70}","0.96","\textbf{0.97}","0.84","0.72","0.56","0.81","0.84","0.77","0.91","0.83","\textbf{0.94}","0.56","0.80","\textbf{0.60}"
"PbP","0.64","0.98","0.55","0.64","0.82","\textbf{0.70}","0.94","0.62","\textbf{0.85}","0.65","\textbf{0.63}","0.82","0.75","0.77","\textbf{0.91}","0.85","0.93","\textbf{0.59}","0.73","0.56"
"SAEM","\textbf{0.67}","\textbf{0.99}","\textbf{0.76}","0.62","0.84","0.69","0.50","0.50","0.81","\textbf{0.78}","0.57","0.82","0.85","0.80","\textbf{0.91}","0.59","0.50","0.57","0.50","0.50"
