"Dataset","Method","Fold","Metric","Value"
"boys","SAEM",1,"AUC",0.99573029710016
"boys","SAEM",1,"Brier",0.0284972193847922
"boys","SAEM",1,"Misclassification",0.0333333333333333
"boys","SAEM",1,"Calibration",0.0110100398976127
"boys","SAEM",2,"AUC",0.996729651162791
"boys","SAEM",2,"Brier",0.02902167859803
"boys","SAEM",2,"Misclassification",0.04
"boys","SAEM",2,"Calibration",0.0138629484392998
"boys","SAEM",3,"AUC",0.988819648093842
"boys","SAEM",3,"Brier",0.0503551116858856
"boys","SAEM",3,"Misclassification",0.0733333333333334
"boys","SAEM",3,"Calibration",0.0164662227969967
"boys","SAEM",4,"AUC",0.998357064622125
"boys","SAEM",4,"Brier",0.0147378629797618
"boys","SAEM",4,"Misclassification",0.00671140939597314
"boys","SAEM",4,"Calibration",0.00869759452338592
"boys","SAEM",5,"AUC",0.994032549728752
"boys","SAEM",5,"Brier",0.0343356824334125
"boys","SAEM",5,"Misclassification",0.0604026845637584
"boys","SAEM",5,"Calibration",0.00942211725139089
"boys","MICE.10.IMP",1,"AUC",0.5
"boys","MICE.10.IMP",1,"Brier",0.250100371733351
"boys","MICE.10.IMP",1,"Misclassification",0.513333333333333
"boys","MICE.10.IMP",1,"Calibration",0.000278149511128978
"boys","MICE.10.IMP",2,"AUC",0.5
"boys","MICE.10.IMP",2,"Brier",0.253036244933875
"boys","MICE.10.IMP",2,"Misclassification",0.573333333333333
"boys","MICE.10.IMP",2,"Calibration",0.00841402271165251
"boys","MICE.10.IMP",3,"AUC",0.5
"boys","MICE.10.IMP",3,"Brier",0.254240705734089
"boys","MICE.10.IMP",3,"Misclassification",0.586666666666667
"boys","MICE.10.IMP",3,"Calibration",0.0117518168452006
"boys","MICE.10.IMP",4,"AUC",0.5
"boys","MICE.10.IMP",4,"Brier",0.251820394580765
"boys","MICE.10.IMP",4,"Misclassification",0.557046979865772
"boys","MICE.10.IMP",4,"Calibration",0.00507475249257097
"boys","MICE.10.IMP",5,"AUC",0.5
"boys","MICE.10.IMP",5,"Brier",0.250510214398069
"boys","MICE.10.IMP",5,"Misclassification",0.530201342281879
"boys","MICE.10.IMP",5,"Calibration",0.00142233547369638
"boys","MICE.10.Y.M.IMP",1,"AUC",0.5
"boys","MICE.10.Y.M.IMP",1,"Brier",0.250100371733351
"boys","MICE.10.Y.M.IMP",1,"Misclassification",0.513333333333333
"boys","MICE.10.Y.M.IMP",1,"Calibration",0.000278149511128978
"boys","MICE.10.Y.M.IMP",2,"AUC",0.5
"boys","MICE.10.Y.M.IMP",2,"Brier",0.253036244933875
"boys","MICE.10.Y.M.IMP",2,"Misclassification",0.573333333333333
"boys","MICE.10.Y.M.IMP",2,"Calibration",0.00841402271165251
"boys","MICE.10.Y.M.IMP",3,"AUC",0.5
"boys","MICE.10.Y.M.IMP",3,"Brier",0.254240705734089
"boys","MICE.10.Y.M.IMP",3,"Misclassification",0.586666666666667
"boys","MICE.10.Y.M.IMP",3,"Calibration",0.0117518168452006
"boys","MICE.10.Y.M.IMP",4,"AUC",0.5
"boys","MICE.10.Y.M.IMP",4,"Brier",0.251820394580765
"boys","MICE.10.Y.M.IMP",4,"Misclassification",0.557046979865772
"boys","MICE.10.Y.M.IMP",4,"Calibration",0.00507475249257097
"boys","MICE.10.Y.M.IMP",5,"AUC",0.5
"boys","MICE.10.Y.M.IMP",5,"Brier",0.250510214398069
"boys","MICE.10.Y.M.IMP",5,"Misclassification",0.530201342281879
"boys","MICE.10.Y.M.IMP",5,"Calibration",0.00142233547369638
"boys","MICE.RF.10.IMP",1,"AUC",0.5
"boys","MICE.RF.10.IMP",1,"Brier",0.250100371733351
"boys","MICE.RF.10.IMP",1,"Misclassification",0.513333333333333
"boys","MICE.RF.10.IMP",1,"Calibration",0.000278149511128978
"boys","MICE.RF.10.IMP",2,"AUC",0.5
"boys","MICE.RF.10.IMP",2,"Brier",0.253036244933875
"boys","MICE.RF.10.IMP",2,"Misclassification",0.573333333333333
"boys","MICE.RF.10.IMP",2,"Calibration",0.00841402271165251
"boys","MICE.RF.10.IMP",3,"AUC",0.5
"boys","MICE.RF.10.IMP",3,"Brier",0.254240705734089
"boys","MICE.RF.10.IMP",3,"Misclassification",0.586666666666667
"boys","MICE.RF.10.IMP",3,"Calibration",0.0117518168452006
"boys","MICE.RF.10.IMP",4,"AUC",0.5
"boys","MICE.RF.10.IMP",4,"Brier",0.251820394580765
"boys","MICE.RF.10.IMP",4,"Misclassification",0.557046979865772
"boys","MICE.RF.10.IMP",4,"Calibration",0.00507475249257097
"boys","MICE.RF.10.IMP",5,"AUC",0.5
"boys","MICE.RF.10.IMP",5,"Brier",0.250510214398069
"boys","MICE.RF.10.IMP",5,"Misclassification",0.530201342281879
"boys","MICE.RF.10.IMP",5,"Calibration",0.00142233547369638
"boys","MICE.RF.10.Y.M.IMP",1,"AUC",0.5
"boys","MICE.RF.10.Y.M.IMP",1,"Brier",0.250100371733351
"boys","MICE.RF.10.Y.M.IMP",1,"Misclassification",0.513333333333333
"boys","MICE.RF.10.Y.M.IMP",1,"Calibration",0.000278149511128978
"boys","MICE.RF.10.Y.M.IMP",2,"AUC",0.5
"boys","MICE.RF.10.Y.M.IMP",2,"Brier",0.253036244933875
"boys","MICE.RF.10.Y.M.IMP",2,"Misclassification",0.573333333333333
"boys","MICE.RF.10.Y.M.IMP",2,"Calibration",0.00841402271165251
"boys","MICE.RF.10.Y.M.IMP",3,"AUC",0.5
"boys","MICE.RF.10.Y.M.IMP",3,"Brier",0.254240705734089
"boys","MICE.RF.10.Y.M.IMP",3,"Misclassification",0.586666666666667
"boys","MICE.RF.10.Y.M.IMP",3,"Calibration",0.0117518168452006
"boys","MICE.RF.10.Y.M.IMP",4,"AUC",0.5
"boys","MICE.RF.10.Y.M.IMP",4,"Brier",0.251820394580765
"boys","MICE.RF.10.Y.M.IMP",4,"Misclassification",0.557046979865772
"boys","MICE.RF.10.Y.M.IMP",4,"Calibration",0.00507475249257097
"boys","MICE.RF.10.Y.M.IMP",5,"AUC",0.5
"boys","MICE.RF.10.Y.M.IMP",5,"Brier",0.250510214398069
"boys","MICE.RF.10.Y.M.IMP",5,"Misclassification",0.530201342281879
"boys","MICE.RF.10.Y.M.IMP",5,"Calibration",0.00142233547369638
"boys","MICE.10.IMP.M",1,"AUC",0.5
"boys","MICE.10.IMP.M",1,"Brier",0.250100371733351
"boys","MICE.10.IMP.M",1,"Misclassification",0.513333333333333
"boys","MICE.10.IMP.M",1,"Calibration",0.000278149511128978
"boys","MICE.10.IMP.M",2,"AUC",0.5
"boys","MICE.10.IMP.M",2,"Brier",0.253036244933875
"boys","MICE.10.IMP.M",2,"Misclassification",0.573333333333333
"boys","MICE.10.IMP.M",2,"Calibration",0.00841402271165251
"boys","MICE.10.IMP.M",3,"AUC",0.5
"boys","MICE.10.IMP.M",3,"Brier",0.254240705734089
"boys","MICE.10.IMP.M",3,"Misclassification",0.586666666666667
"boys","MICE.10.IMP.M",3,"Calibration",0.0117518168452006
"boys","MICE.10.IMP.M",4,"AUC",0.5
"boys","MICE.10.IMP.M",4,"Brier",0.251820394580765
"boys","MICE.10.IMP.M",4,"Misclassification",0.557046979865772
"boys","MICE.10.IMP.M",4,"Calibration",0.00507475249257097
"boys","MICE.10.IMP.M",5,"AUC",0.5
"boys","MICE.10.IMP.M",5,"Brier",0.250510214398069
"boys","MICE.10.IMP.M",5,"Misclassification",0.530201342281879
"boys","MICE.10.IMP.M",5,"Calibration",0.00142233547369638
"boys","MICE.10.Y.M.IMP.M",1,"AUC",0.5
"boys","MICE.10.Y.M.IMP.M",1,"Brier",0.250100371733351
"boys","MICE.10.Y.M.IMP.M",1,"Misclassification",0.513333333333333
"boys","MICE.10.Y.M.IMP.M",1,"Calibration",0.000278149511128978
"boys","MICE.10.Y.M.IMP.M",2,"AUC",0.5
"boys","MICE.10.Y.M.IMP.M",2,"Brier",0.253036244933875
"boys","MICE.10.Y.M.IMP.M",2,"Misclassification",0.573333333333333
"boys","MICE.10.Y.M.IMP.M",2,"Calibration",0.00841402271165251
"boys","MICE.10.Y.M.IMP.M",3,"AUC",0.5
"boys","MICE.10.Y.M.IMP.M",3,"Brier",0.254240705734089
"boys","MICE.10.Y.M.IMP.M",3,"Misclassification",0.586666666666667
"boys","MICE.10.Y.M.IMP.M",3,"Calibration",0.0117518168452006
"boys","MICE.10.Y.M.IMP.M",4,"AUC",0.5
"boys","MICE.10.Y.M.IMP.M",4,"Brier",0.251820394580765
"boys","MICE.10.Y.M.IMP.M",4,"Misclassification",0.557046979865772
"boys","MICE.10.Y.M.IMP.M",4,"Calibration",0.00507475249257097
"boys","MICE.10.Y.M.IMP.M",5,"AUC",0.5
"boys","MICE.10.Y.M.IMP.M",5,"Brier",0.250510214398069
"boys","MICE.10.Y.M.IMP.M",5,"Misclassification",0.530201342281879
"boys","MICE.10.Y.M.IMP.M",5,"Calibration",0.00142233547369638
"boys","MICE.RF.10.IMP.M",1,"AUC",0.5
"boys","MICE.RF.10.IMP.M",1,"Brier",0.250100371733351
"boys","MICE.RF.10.IMP.M",1,"Misclassification",0.513333333333333
"boys","MICE.RF.10.IMP.M",1,"Calibration",0.000278149511128978
"boys","MICE.RF.10.IMP.M",2,"AUC",0.5
"boys","MICE.RF.10.IMP.M",2,"Brier",0.253036244933875
"boys","MICE.RF.10.IMP.M",2,"Misclassification",0.573333333333333
"boys","MICE.RF.10.IMP.M",2,"Calibration",0.00841402271165251
"boys","MICE.RF.10.IMP.M",3,"AUC",0.5
"boys","MICE.RF.10.IMP.M",3,"Brier",0.254240705734089
"boys","MICE.RF.10.IMP.M",3,"Misclassification",0.586666666666667
"boys","MICE.RF.10.IMP.M",3,"Calibration",0.0117518168452006
"boys","MICE.RF.10.IMP.M",4,"AUC",0.5
"boys","MICE.RF.10.IMP.M",4,"Brier",0.251820394580765
"boys","MICE.RF.10.IMP.M",4,"Misclassification",0.557046979865772
"boys","MICE.RF.10.IMP.M",4,"Calibration",0.00507475249257097
"boys","MICE.RF.10.IMP.M",5,"AUC",0.5
"boys","MICE.RF.10.IMP.M",5,"Brier",0.250510214398069
"boys","MICE.RF.10.IMP.M",5,"Misclassification",0.530201342281879
"boys","MICE.RF.10.IMP.M",5,"Calibration",0.00142233547369638
"boys","MICE.RF.10.Y.M.IMP.M",1,"AUC",0.5
"boys","MICE.RF.10.Y.M.IMP.M",1,"Brier",0.250100371733351
"boys","MICE.RF.10.Y.M.IMP.M",1,"Misclassification",0.513333333333333
"boys","MICE.RF.10.Y.M.IMP.M",1,"Calibration",0.000278149511128978
"boys","MICE.RF.10.Y.M.IMP.M",2,"AUC",0.5
"boys","MICE.RF.10.Y.M.IMP.M",2,"Brier",0.253036244933875
"boys","MICE.RF.10.Y.M.IMP.M",2,"Misclassification",0.573333333333333
"boys","MICE.RF.10.Y.M.IMP.M",2,"Calibration",0.00841402271165251
"boys","MICE.RF.10.Y.M.IMP.M",3,"AUC",0.5
"boys","MICE.RF.10.Y.M.IMP.M",3,"Brier",0.254240705734089
"boys","MICE.RF.10.Y.M.IMP.M",3,"Misclassification",0.586666666666667
"boys","MICE.RF.10.Y.M.IMP.M",3,"Calibration",0.0117518168452006
"boys","MICE.RF.10.Y.M.IMP.M",4,"AUC",0.5
"boys","MICE.RF.10.Y.M.IMP.M",4,"Brier",0.251820394580765
"boys","MICE.RF.10.Y.M.IMP.M",4,"Misclassification",0.557046979865772
"boys","MICE.RF.10.Y.M.IMP.M",4,"Calibration",0.00507475249257097
"boys","MICE.RF.10.Y.M.IMP.M",5,"AUC",0.5
"boys","MICE.RF.10.Y.M.IMP.M",5,"Brier",0.250510214398069
"boys","MICE.RF.10.Y.M.IMP.M",5,"Misclassification",0.530201342281879
"boys","MICE.RF.10.Y.M.IMP.M",5,"Calibration",0.00142233547369638
