"Method","aut","bre","c25","c27","cjs","cle","cre","cyl","der","euc","hec","heh","hep","iri","lab","met","mic","pbc","sic","wis"
"05.IMP","0.78","\textbf{0.99}","\textbf{0.85}","\textbf{0.83}","\textbf{0.81}","\textbf{0.90}","\textbf{0.93}","0.80","\textbf{1.00}","\textbf{0.97}","0.90","\textbf{0.90}","\textbf{0.90}","\textbf{1.00}","0.80","\textbf{0.74}","\textbf{1.00}","\textbf{0.92}","0.94","\textbf{0.99}"
"05.IMP.M","0.74","\textbf{0.99}","0.84","0.82","\textbf{0.79}","\textbf{0.90}","\textbf{0.93}","\textbf{0.81}","\textbf{1.00}","\textbf{0.98}","\textbf{0.90}","\textbf{0.89}","0.85","\textbf{1.00}","0.78","0.69","0.50","0.90","0.94","\textbf{0.99}"
"MICE.10.IMP","\textbf{0.81}","\textbf{0.99}","0.84","\textbf{0.83}","0.50","\textbf{0.90}","\textbf{0.93}","0.81","\textbf{1.00}","\textbf{0.98}","\textbf{0.90}","\textbf{0.90}","\textbf{0.91}","\textbf{1.00}","0.91","0.74","1.00","\textbf{0.92}","0.95","0.99"
"MICE.10.IMP.M","\textbf{0.79}","\textbf{0.99}","\textbf{0.86}","0.83","0.50","\textbf{0.90}","\textbf{0.93}","\textbf{0.81}","\textbf{1.00}","\textbf{0.98}","0.90","\textbf{0.89}","0.86","\textbf{1.00}","0.87","\textbf{0.74}","0.50","0.90","\textbf{0.95}","\textbf{0.99}"
"MICE.10.Y.M.IMP","\textbf{0.81}","\textbf{0.99}","0.84","\textbf{0.83}","0.50","\textbf{0.90}","\textbf{0.93}","\textbf{0.81}","\textbf{1.00}","0.98","0.90","\textbf{0.90}","0.90","\textbf{1.00}","\textbf{0.96}","\textbf{0.74}","\textbf{1.00}","0.92","0.95","\textbf{0.99}"
"MICE.10.Y.M.IMP.M","\textbf{0.79}","\textbf{0.99}","\textbf{0.86}","0.82","0.50","\textbf{0.90}","\textbf{0.93}","\textbf{0.80}","\textbf{1.00}","\textbf{0.98}","0.90","\textbf{0.89}","0.85","\textbf{1.00}","0.89","\textbf{0.75}","0.50","0.90","0.95","\textbf{0.99}"
"MICE.RF.10.IMP","\textbf{0.81}","0.99","0.84","\textbf{0.83}","0.50","\textbf{0.90}","\textbf{0.93}","0.81","0.50","0.98","\textbf{0.90}","\textbf{0.90}","0.90","\textbf{1.00}","0.90","0.72","1.00","\textbf{0.92}","\textbf{0.95}","\textbf{0.99}"
"MICE.RF.10.IMP.M","0.79","\textbf{0.99}","\textbf{0.85}","0.83","0.50","\textbf{0.90}","\textbf{0.93}","0.80","0.50","\textbf{0.98}","\textbf{0.90}","\textbf{0.89}","0.85","\textbf{1.00}","0.89","0.74","0.50","0.90","\textbf{0.95}","\textbf{0.99}"
"MICE.RF.10.Y.M.IMP","\textbf{0.82}","0.99","\textbf{0.85}","\textbf{0.83}","0.50","\textbf{0.90}","\textbf{0.93}","\textbf{0.81}","\textbf{1.00}","0.98","\textbf{0.90}","\textbf{0.90}","0.90","1.00","\textbf{0.90}","0.72","1.00","0.92","\textbf{0.95}","0.99"
"MICE.RF.10.Y.M.IMP.M","0.79","\textbf{0.99}","\textbf{0.85}","0.82","0.50","\textbf{0.90}","\textbf{0.93}","0.80","\textbf{1.00}","\textbf{0.98}","0.90","0.89","0.85","\textbf{1.00}","0.87","0.73","0.50","0.90","\textbf{0.95}","\textbf{0.99}"
"Mean.IMP","0.79","0.99","0.83","0.83","\textbf{0.82}","\textbf{0.90}","\textbf{0.93}","\textbf{0.81}","\textbf{1.00}","\textbf{0.92}","0.90","\textbf{0.90}","0.89","\textbf{1.00}","0.86","0.74","1.00","0.92","0.94","\textbf{0.99}"
"Mean.IMP.M","0.74","\textbf{0.99}","0.84","0.82","0.80","\textbf{0.90}","\textbf{0.93}","\textbf{0.81}","\textbf{1.00}","\textbf{0.98}","\textbf{0.90}","\textbf{0.89}","0.85","\textbf{0.98}","0.78","0.70","0.50","0.90","0.94","\textbf{0.99}"
"PbP","0.71","\textbf{0.99}","0.60","0.63","0.81","0.89","0.92","0.70","0.99","0.95","\textbf{0.90}","0.85","0.71","\textbf{1.00}","0.72","\textbf{0.72}","0.93","0.86","0.93","0.99"
"SAEM","0.50","0.99","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.99"
