"Dataset","Method","Fold","Metric","Value"
"openml__autos__9","SAEM",1,"AUC",0.5
"openml__autos__9","SAEM",1,"Brier",0.241522903033908
"openml__autos__9","SAEM",1,"Misclassification",0.365853658536585
"openml__autos__9","SAEM",1,"Calibration",NA
"openml__autos__9","MICE.10.IMP",1,"AUC",0.773076923076923
"openml__autos__9","MICE.10.IMP",1,"Brier",0.217343868481229
"openml__autos__9","MICE.10.IMP",1,"Misclassification",0.24390243902439
"openml__autos__9","MICE.10.IMP",1,"Calibration",0.0652706977495214
"openml__autos__9","MICE.10.Y.M.IMP",1,"AUC",0.73974358974359
"openml__autos__9","MICE.10.Y.M.IMP",1,"Brier",0.217884634385038
"openml__autos__9","MICE.10.Y.M.IMP",1,"Misclassification",0.24390243902439
"openml__autos__9","MICE.10.Y.M.IMP",1,"Calibration",0.0512179677183715
"openml__autos__9","MICE.RF.10.IMP",1,"AUC",0.755128205128205
"openml__autos__9","MICE.RF.10.IMP",1,"Brier",0.237901432089273
"openml__autos__9","MICE.RF.10.IMP",1,"Misclassification",0.24390243902439
"openml__autos__9","MICE.RF.10.IMP",1,"Calibration",0.0715161913137886
"openml__autos__9","MICE.RF.10.Y.M.IMP",1,"AUC",0.75
"openml__autos__9","MICE.RF.10.Y.M.IMP",1,"Brier",0.216654830056561
"openml__autos__9","MICE.RF.10.Y.M.IMP",1,"Misclassification",0.24390243902439
"openml__autos__9","MICE.RF.10.Y.M.IMP",1,"Calibration",0.0508011715199757
"openml__autos__9","MICE.10.IMP.M",1,"AUC",0.747435897435897
"openml__autos__9","MICE.10.IMP.M",1,"Brier",0.22064853754818
"openml__autos__9","MICE.10.IMP.M",1,"Misclassification",0.24390243902439
"openml__autos__9","MICE.10.IMP.M",1,"Calibration",0.0642573147730761
"openml__autos__9","MICE.10.Y.M.IMP.M",1,"AUC",0.769230769230769
"openml__autos__9","MICE.10.Y.M.IMP.M",1,"Brier",0.179858076990838
"openml__autos__9","MICE.10.Y.M.IMP.M",1,"Misclassification",0.195121951219512
"openml__autos__9","MICE.10.Y.M.IMP.M",1,"Calibration",0.0439050507939095
"openml__autos__9","MICE.RF.10.IMP.M",1,"AUC",0.73974358974359
"openml__autos__9","MICE.RF.10.IMP.M",1,"Brier",0.207221185052964
"openml__autos__9","MICE.RF.10.IMP.M",1,"Misclassification",0.219512195121951
"openml__autos__9","MICE.RF.10.IMP.M",1,"Calibration",0.0549405388698789
"openml__autos__9","MICE.RF.10.Y.M.IMP.M",1,"AUC",0.761538461538462
"openml__autos__9","MICE.RF.10.Y.M.IMP.M",1,"Brier",0.21300943093981
"openml__autos__9","MICE.RF.10.Y.M.IMP.M",1,"Misclassification",0.24390243902439
"openml__autos__9","MICE.RF.10.Y.M.IMP.M",1,"Calibration",0.0554484553300536
"openml__autos__9","Mean.IMP",1,"AUC",0.656410256410256
"openml__autos__9","Mean.IMP",1,"Brier",0.292682926829268
"openml__autos__9","Mean.IMP",1,"Misclassification",0.292682926829268
"openml__autos__9","Mean.IMP",1,"Calibration",0.0875092387287508
"openml__autos__9","Mean.IMP.M",1,"AUC",0.716666666666667
"openml__autos__9","Mean.IMP.M",1,"Brier",0.243902180798957
"openml__autos__9","Mean.IMP.M",1,"Misclassification",0.24390243902439
"openml__autos__9","Mean.IMP.M",1,"Calibration",0.0656657830503645
"openml__autos__9","05.IMP",1,"AUC",0.624358974358974
"openml__autos__9","05.IMP",1,"Brier",0.312533177244135
"openml__autos__9","05.IMP",1,"Misclassification",0.317073170731707
"openml__autos__9","05.IMP",1,"Calibration",0.116545765757117
"openml__autos__9","05.IMP.M",1,"AUC",0.716666666666667
"openml__autos__9","05.IMP.M",1,"Brier",0.243902180798978
"openml__autos__9","05.IMP.M",1,"Misclassification",0.24390243902439
"openml__autos__9","05.IMP.M",1,"Calibration",0.0656657830503852
"openml__autos__9","PbP",1,"AUC",0.728205128205128
"openml__autos__9","PbP",1,"Brier",0.219512195122085
"openml__autos__9","PbP",1,"Misclassification",0.219512195121951
"openml__autos__9","PbP",1,"Calibration",0.0504581236289894
"openml__autos__9","SAEM",2,"AUC",0.5
"openml__autos__9","SAEM",2,"Brier",0.187425639500297
"openml__autos__9","SAEM",2,"Misclassification",0.24390243902439
"openml__autos__9","SAEM",2,"Calibration",NA
"openml__autos__9","MICE.10.IMP",2,"AUC",0.809677419354839
"openml__autos__9","MICE.10.IMP",2,"Brier",0.166481278908993
"openml__autos__9","MICE.10.IMP",2,"Misclassification",0.219512195121951
"openml__autos__9","MICE.10.IMP",2,"Calibration",0.0561273812523695
"openml__autos__9","MICE.10.Y.M.IMP",2,"AUC",0.780645161290323
"openml__autos__9","MICE.10.Y.M.IMP",2,"Brier",0.177061502917165
"openml__autos__9","MICE.10.Y.M.IMP",2,"Misclassification",0.195121951219512
"openml__autos__9","MICE.10.Y.M.IMP",2,"Calibration",0.063831643345842
"openml__autos__9","MICE.RF.10.IMP",2,"AUC",0.796774193548387
"openml__autos__9","MICE.RF.10.IMP",2,"Brier",0.15547215361987
"openml__autos__9","MICE.RF.10.IMP",2,"Misclassification",0.146341463414634
"openml__autos__9","MICE.RF.10.IMP",2,"Calibration",0.0489012177806416
"openml__autos__9","MICE.RF.10.Y.M.IMP",2,"AUC",0.793548387096774
"openml__autos__9","MICE.RF.10.Y.M.IMP",2,"Brier",0.158772567245781
"openml__autos__9","MICE.RF.10.Y.M.IMP",2,"Misclassification",0.170731707317073
"openml__autos__9","MICE.RF.10.Y.M.IMP",2,"Calibration",0.0460681984438508
"openml__autos__9","MICE.10.IMP.M",2,"AUC",0.820967741935484
